t_ms,mode,pwm,servo_count,servo_deg,setpoint_deg,error_deg,gain_mode,pend_count,pend_deg,v_bus,i_ma,p_mw
0,2,-10,-60,0.0,0.0,0.0,0,0,0.0,14.68,28.2,412.0
159,2,-10,-60,0.0,0.0,0.0,0,0,0.0,14.684,26.7,394.0
284,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.672,27.8,410.0
422,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.676,27.4,404.0
544,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.68,26.9,394.0
678,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.68,1.4,20.0
820,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.672,27.7,406.0
947,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.68,26.1,384.0
1071,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.676,27.0,396.0
1197,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.676,27.1,396.0
1323,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.68,27.9,410.0
1457,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.68,26.6,390.0
1583,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.676,26.7,394.0
1706,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.688,14.1,206.0
1846,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.676,27.7,406.0
1983,2,-9,-59,0.176,0.0,-0.176,0,0,0.0,14.676,27.0,396.0
2104,2,-60,-24,6.328,30.0,23.672,0,35,6.152,14.408,91.9,1328.0
2306,2,-28,65,21.973,30.0,8.027,0,42,7.383,14.612,42.8,626.0
2443,2,-19,77,24.082,30.0,5.918,0,-91,-15.996,14.644,33.3,488.0
2581,2,23,160,38.672,30.0,-8.672,0,-2,-0.352,14.628,39.2,574.0
2721,2,-11,126,32.695,30.0,-2.695,0,-8,-1.406,14.672,27.7,406.0
