t_s,position_deg,setpoint_deg,error_deg,pwm,current_ma,voltage_v,power_mw
0.0000,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
0.0400,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
0.1500,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
0.5430,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
0.5590,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
0.6960,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
0.8890,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
0.9110,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
1.1060,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
1.1250,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
1.3050,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
1.3270,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
1.5040,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
1.5330,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
1.7140,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
1.7370,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
1.9160,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
1.9590,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
2.1210,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
2.1460,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
2.3360,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
2.3740,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
2.5360,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
2.6230,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
2.6970,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
2.8470,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
2.8960,1.0550,0.0000,-1.0550,0.0000,0.0000,0.0000,0.0000
