t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.023,168.223,-61.172,-61.172,0,0,14.748,5.5,52.0
0.061,168.223,-61.172,-61.172,0,0,14.748,5.3,78.0
0.09,168.223,-60.996,-60.996,0,0,14.752,3.7,56.0
0.112,168.223,-60.996,-60.996,0,0,14.752,5.0,76.0
0.136,168.223,-61.172,-61.172,0,0,14.752,6.1,88.0
0.162,168.223,-61.172,-61.172,0,0,14.752,5.6,82.0
0.191,168.223,-61.172,-61.172,0,0,14.744,5.4,78.0
0.212,168.223,-61.172,-61.172,0,0,14.752,4.1,58.0
0.235,168.223,-61.172,-61.172,0,0,14.744,5.2,76.0
0.26,168.223,-61.172,-61.172,0,0,14.748,4.8,72.0
0.3,168.398,-61.172,-61.172,0,0,14.736,6.0,88.0
0.327,168.398,-61.172,-61.172,0,0,14.748,4.5,66.0
0.354,168.398,-61.172,-61.172,0,0,14.744,3.7,56.0
0.39,168.398,-61.172,-61.172,0,0,14.748,3.2,46.0
0.413,168.398,-61.172,-61.172,0,0,14.74,3.9,58.0
0.445,168.398,-61.172,-61.172,0,0,14.752,3.8,56.0
0.47,168.398,-61.172,-61.172,0,0,14.752,7.8,114.0
0.495,168.398,-61.172,-61.172,0,0,14.744,4.5,66.0
0.517,168.398,-61.172,-61.172,0,0,14.74,5.0,72.0
0.54,168.398,-61.172,-61.172,0,0,14.752,3.7,56.0
0.585,168.398,-61.172,-61.172,0,0,14.74,3.5,52.0
0.61,168.398,-61.172,-61.172,0,0,14.748,4.5,66.0
0.664,168.398,-61.172,-61.172,0,0,14.752,3.6,52.0
0.714,168.398,-61.172,-61.172,0,0,14.748,3.4,50.0
0.735,168.574,-61.172,-61.172,0,0,14.748,4.6,68.0
0.765,168.574,-61.172,-61.172,0,0,14.74,4.8,72.0
0.819,168.574,-61.172,-61.172,0,0,14.744,4.0,58.0
0.868,168.574,-61.172,-61.172,0,0,14.744,5.2,76.0
0.896,168.574,-61.172,-61.172,0,0,14.748,3.6,52.0
0.925,168.574,-61.172,-61.172,0,0,14.748,6.3,68.0
0.961,168.574,-61.172,-61.172,0,0,14.748,3.6,52.0
0.997,168.574,-61.172,-61.172,0,0,14.748,4.0,58.0
1.022,168.574,-60.996,-60.996,0,0,14.748,4.2,62.0
1.043,168.574,-60.996,-60.996,0,0,14.744,5.3,52.0
1.07,168.574,-60.996,-60.996,0,0,14.744,2.5,36.0
1.116,168.574,-60.996,-60.996,0,0,14.748,3.4,50.0
1.143,168.574,-60.996,-60.996,0,0,14.748,4.2,62.0
1.167,168.574,-60.996,-60.996,0,0,14.752,4.9,72.0
1.203,168.574,-61.172,-61.172,0,0,14.752,3.7,56.0
1.234,168.574,-61.172,-61.172,0,0,14.748,3.2,46.0
1.256,168.574,-61.172,-61.172,0,0,14.744,4.0,58.0
1.286,168.574,-61.172,-61.172,0,0,14.752,3.4,50.0
1.316,168.574,-61.172,-61.172,0,0,14.752,4.5,66.0
1.358,168.574,-61.172,-61.172,0,0,14.744,4.2,62.0
1.387,168.574,-61.172,-61.172,0,0,14.72,4.1,58.0
1.422,168.574,-61.172,-61.172,0,0,14.728,-15.8,232.0
1.445,168.574,-61.172,-61.172,0,0,14.744,4.7,68.0
1.468,168.574,-61.172,-61.172,0,0,14.756,6.6,98.0
1.503,168.574,-61.172,-61.172,0,0,14.748,2.9,42.0
1.527,168.574,-61.172,-61.172,0,0,14.68,13.1,194.0
1.554,168.574,-61.172,-61.172,0,0,14.752,3.7,56.0
1.574,168.574,-60.996,-60.996,0,0,14.744,4.6,68.0
1.632,168.574,-60.996,-60.996,0,0,14.756,2.8,42.0
1.652,168.75,-60.996,-60.996,0,0,14.744,5.3,78.0
1.682,168.75,-60.996,-60.996,0,0,14.748,2.3,32.0
1.719,168.75,-60.996,-60.996,0,0,14.756,2.9,42.0
1.742,168.75,-60.996,-60.996,0,0,14.74,4.9,72.0
1.769,168.75,-60.996,-60.996,0,0,14.744,5.1,76.0
1.812,168.75,-61.172,-61.172,0,0,14.756,3.3,50.0
1.841,168.75,-61.172,-61.172,0,0,14.74,6.3,92.0
1.876,168.75,-61.172,-61.172,0,0,14.748,5.5,82.0
1.9,168.75,-61.172,-61.172,0,0,14.752,3.5,52.0
1.945,168.75,-61.172,-61.172,0,0,14.752,3.6,52.0
1.973,168.75,-61.172,-61.172,0,0,14.752,5.2,76.0
2.021,168.75,-61.172,-61.172,0,0,14.752,5.1,76.0
