alpha_deg,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
35.859,28.0,4,69,0.0,0.0,0.527,15.02
39.727,116.1,4,69,0.0,0.0863,-19.16,14.856
39.727,113.4,4,67,0.0,0.173,-40.957,14.86
32.871,113.4,4,64,0.0,0.2549,-59.59,14.86
14.414,103.2,4,59,0.0,0.3296,-84.551,14.864
-4.219,89.5,0,0,0.0,0.4164,-108.281,14.892
-20.391,27.3,0,0,0.0,0.4882,-128.496,15.028
-20.391,27.1,0,0,0.0,0.5855,-133.242,15.024
-4.746,26.9,0,0,0.0,0.6733,-132.012,15.028
22.5,26.9,0,0,0.0,0.7483,-128.496,15.028
24.434,24.4,0,0,0.0,0.851,-100.02,15.028
7.734,24.4,0,0,0.0,0.9517,-73.828,15.028
-1.23,27.0,0,0,0.0,1.0216,-55.195,15.024
2.988,27.2,0,0,0.0,1.0874,-43.594,15.028
23.027,26.9,0,0,0.0,1.1613,-35.684,15.032
31.465,26.9,0,0,0.0,1.2519,-27.598,15.032
24.258,27.2,0,0,0.0,1.3168,-13.887,15.024
9.492,27.5,0,0,0.0,1.3896,1.582,15.028
0.0,26.5,0,0,0.0,1.4739,16.875,15.024
10.723,26.5,0,0,0.0,1.5526,18.633,15.024
25.312,27.6,0,0,0.0,1.6201,18.281,15.024
28.125,26.9,0,0,0.0,1.6987,22.852,15.024
13.535,27.0,0,0,0.0,1.7915,34.98,15.028
1.406,27.1,0,0,0.0,1.8753,44.648,15.028
6.68,27.1,0,0,0.0,1.952,44.648,15.028
22.676,27.3,0,0,0.0,2.0179,39.902,15.028
25.137,26.8,0,0,0.0,2.1116,40.605,15.024
17.051,27.5,0,0,0.0,2.1814,45.703,15.028
6.68,27.5,0,0,0.0,2.2494,50.977,15.028
4.219,27.0,0,0,0.0,2.3152,52.031,15.024
15.117,27.1,0,0,0.0,2.4124,46.055,15.028
21.973,26.7,0,0,0.0,2.4992,42.539,15.032
6.328,26.8,0,0,0.0,2.5779,47.637,15.028
10.723,26.5,0,0,0.0,2.7794,44.297,15.028
17.402,26.5,0,0,0.0,2.8625,40.078,15.028
18.633,26.6,0,0,0.0,2.9253,38.848,15.028
11.25,26.7,0,0,0.0,3.0092,41.309,15.024
8.613,27.1,0,0,0.0,3.1039,41.836,15.028
10.371,27.3,0,0,0.0,3.1698,40.078,15.028
14.59,27.3,0,0,0.0,3.2436,37.617,15.028
16.172,29.2,0,0,0.0,3.3223,36.914,15.012
14.063,27.3,0,0,0.0,3.3986,38.145,15.024
11.25,27.3,0,0,0.0,3.4651,39.375,15.032
11.953,26.9,0,0,0.0,3.5468,38.848,15.028
13.711,26.9,0,0,0.0,3.6475,38.32,15.028
14.414,27.5,0,0,0.0,3.7273,38.32,15.016
13.887,22.2,0,0,0.0,3.829,38.848,15.028
13.184,27.4,0,0,0.0,3.8978,39.199,15.008
12.832,27.1,0,0,0.0,3.9625,39.199,15.032
