alpha_deg,cmd_sp,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
82.617,20.0,27.1,2,-48,20.0,0.0,2.285,15.024
79.453,20.0,47.3,2,-26,20.0,0.0804,7.559,14.984
79.805,20.0,47.3,2,-16,20.0,0.1482,11.602,14.984
85.43,20.0,27.2,2,-13,20.0,0.2276,14.238,15.02
89.648,20.0,26.5,2,-4,20.0,0.3014,16.699,15.024
87.187,20.0,26.7,2,14,20.0,0.3951,21.973,15.028
82.441,20.0,42.1,2,26,20.0,0.464,26.895,15.0
83.848,20.0,46.9,2,29,20.0,0.5557,26.719,14.984
87.187,20.0,46.9,2,11,20.0,0.6365,24.609,14.984
86.836,20.0,28.5,2,29,20.0,0.718,24.082,15.02
85.078,20.0,45.4,2,6,20.0,0.7934,23.027,14.996
82.793,20.0,28.2,2,2,20.0,0.8633,21.797,15.02
81.562,20.0,28.2,2,0,20.0,0.9371,20.215,15.02
81.914,20.0,26.6,2,-4,20.0,1.0168,18.633,15.028
83.32,20.0,24.2,2,-10,20.0,1.0836,17.227,15.024
83.848,20.0,24.2,2,-29,20.0,1.1485,17.051,15.024
82.793,20.0,45.0,2,-1,20.0,1.2272,18.457,14.988
83.32,20.0,27.2,2,0,20.0,1.305,19.16,15.028
84.902,20.0,27.0,2,0,20.0,1.3768,19.16,15.028
85.43,20.0,27.1,2,0,20.0,1.457,19.512,15.028
84.551,20.0,27.1,2,0,20.0,1.5408,20.215,15.028
83.496,20.0,27.1,2,0,20.0,1.616,20.742,15.024
83.32,20.0,27.1,2,0,20.0,1.7017,20.742,15.032
83.672,20.0,27.1,2,0,20.0,1.7685,20.742,15.032
84.199,20.0,28.1,2,0,20.0,1.8822,20.742,15.024
84.375,20.0,28.1,2,0,20.0,1.9631,20.742,15.024
84.375,20.0,27.2,2,0,20.0,2.0384,20.742,15.024
84.199,20.0,27.2,2,0,20.0,2.1037,20.742,15.024
83.672,20.0,27.1,2,0,20.0,2.1676,20.742,15.028
83.496,20.0,27.1,2,0,20.0,2.2406,20.742,15.028
