t,pend,servo,mode,pwm,v
0.058,0.18,0.0,5,-35,14.76
0.132,0.18,0.0,5,-35,14.76
0.222,-0.53,-0.7,5,34,14.76
0.299,-1.93,-2.64,5,34,14.76
0.377,-1.76,-4.92,5,34,14.75
0.449,0.0,-6.5,5,-26,14.78
0.534,4.04,-6.33,5,-26,14.77
0.615,5.1,-6.68,5,-33,14.76
0.695,1.93,-7.38,5,29,14.77
0.773,-1.58,-7.56,5,29,14.76
0.863,-2.81,-6.68,5,35,14.75
0.937,-2.46,-6.68,5,-25,14.76
1.021,1.58,-4.92,5,-26,14.77
1.093,4.39,-3.52,5,-34,14.77
1.178,1.93,-4.39,5,28,14.77
1.253,-1.41,-5.1,5,28,14.78
1.323,-2.64,-5.1,5,35,14.74
1.398,-2.81,-5.62,5,35,14.74
1.478,-0.18,-5.62,5,-26,14.77
1.596,4.75,-4.39,5,-34,14.77
1.669,2.99,-5.27,5,28,14.76
1.769,-0.53,-5.98,5,28,14.77
1.845,-2.46,-5.8,5,28,14.74
1.925,-2.64,-6.15,5,-33,14.75
2.006,0.88,-5.27,5,-26,14.77
2.078,4.22,-4.04,5,-34,14.77
2.158,3.52,-4.22,5,28,14.76
2.245,0.0,-5.45,5,28,14.76
2.335,-2.46,-5.62,5,35,14.76
2.417,-2.29,-5.98,5,-26,14.74
2.499,1.58,-4.92,5,-26,14.77
2.58,4.22,-4.04,5,-26,14.77
2.663,2.99,-4.57,5,28,14.76
2.733,-0.53,-5.62,5,28,14.76
2.812,-2.11,-5.45,5,35,14.76
2.888,-2.46,-5.62,5,35,14.74
2.96,-0.35,-5.62,5,-33,14.77
3.035,2.99,-4.39,5,-26,14.77
3.109,3.87,-4.22,5,-34,14.76
3.192,1.58,-4.92,5,28,14.76
3.269,-1.05,-5.27,5,28,14.74
3.339,-2.29,-5.27,5,35,14.76
3.421,-2.46,-6.15,5,-33,14.76
3.498,0.88,-5.45,5,-26,14.64
3.574,4.22,-4.22,5,-34,14.77
3.652,3.52,-4.75,5,28,14.76
3.726,0.18,-5.8,5,28,14.76
3.798,-1.93,-5.8,5,35,14.75
3.874,-2.46,-5.8,5,-26,14.74
3.948,-0.88,-5.62,5,-26,14.77
4.034,2.81,-4.39,5,-26,14.77
4.116,3.69,-4.04,5,-34,14.76
4.188,1.41,-4.75,5,28,14.76
4.276,-1.23,-4.92,5,28,14.76
4.368,-2.29,-4.92,5,34,14.75
4.458,-1.23,-5.8,5,-26,14.78
4.559,3.52,-4.22,5,-34,14.72
4.644,3.69,-4.57,5,28,14.77
4.744,-0.35,-5.8,5,28,14.77
4.835,-2.11,-5.8,5,35,14.76
4.935,-1.93,-6.33,5,-33,14.77
5.009,1.58,-5.1,5,-26,14.78
5.08,4.22,-4.04,5,-26,14.76
5.177,1.93,-4.92,5,28,14.76
5.275,-1.58,-5.45,5,28,14.76
5.351,-2.64,-5.45,5,35,14.76
5.445,-1.76,-6.33,5,-26,14.76
5.531,2.64,-5.1,5,-26,14.76
5.628,4.39,-4.75,5,-34,14.67
5.725,0.35,-6.15,5,28,14.76
5.796,-1.93,-6.15,5,28,14.76
5.877,-2.64,-5.98,5,35,14.74
5.962,-1.58,-6.33,5,-26,14.77
6.033,2.81,-4.75,5,-26,14.76
6.114,4.22,-4.22,5,28,14.77
6.21,0.88,-5.27,5,28,14.76
6.286,-1.76,-5.62,5,28,14.74
6.372,-2.81,-5.8,5,35,14.75
6.45,-1.58,-6.33,5,-26,14.73
6.545,3.34,-4.57,5,-26,14.76
6.617,4.39,-4.39,5,-34,14.77
6.695,1.41,-5.45,5,28,14.76
6.773,-1.58,-5.98,5,28,14.74
6.864,-2.64,-5.8,5,35,14.7
6.936,-1.76,-6.33,5,-26,14.77
7.013,2.11,-4.92,5,-26,14.77
7.088,4.22,-4.22,5,-34,14.77
7.164,2.64,-4.92,5,28,14.77
7.236,-0.7,-5.8,5,28,14.77
7.316,-2.29,-5.8,5,35,14.75
7.405,-2.29,-6.33,5,-26,14.74
7.479,0.7,-5.62,5,-26,14.77
7.554,4.04,-4.57,5,-34,14.75
7.627,3.69,-4.75,5,28,14.75
7.715,0.18,-5.62,5,28,14.76
7.804,-1.93,-5.8,5,35,14.76
7.885,-2.64,-5.98,5,35,14.69
7.978,-0.18,-6.15,5,-26,14.76
8.047,3.87,-4.75,5,-26,14.76
8.139,4.39,-4.75,5,-34,14.76
8.224,0.0,-5.98,5,28,14.76
8.298,-2.11,-5.98,5,28,14.74
8.378,-2.64,-6.15,5,35,14.75
8.463,-1.41,-6.33,5,-26,14.76
8.536,3.16,-4.92,5,-26,14.76
8.622,4.22,-4.39,5,-34,14.77
8.694,1.41,-5.45,5,28,14.76
8.775,-1.41,-5.98,5,28,14.71
8.853,-2.64,-5.8,5,35,14.75
8.934,-2.29,-6.33,5,-26,14.76
9.018,2.11,-5.27,5,-26,14.76
9.104,4.39,-4.39,5,-34,14.76
9.184,2.29,-5.27,5,28,14.76
9.26,-1.05,-5.98,5,28,14.76
9.335,-2.46,-5.98,5,35,14.74
9.413,-2.64,-6.33,5,35,14.74
9.494,0.7,-5.62,5,-26,14.77
9.571,4.04,-4.39,5,-34,14.77
9.65,3.16,-4.75,5,28,14.71
9.75,-0.53,-5.8,5,28,14.76
9.861,-2.46,-5.8,5,35,14.75
9.938,-1.23,-5.8,5,-26,14.77
10.019,2.11,-4.92,5,-26,14.77
10.09,3.69,-4.39,5,-34,14.77
10.191,1.41,-5.1,5,28,14.77
10.274,-1.23,-5.27,5,35,14.76
10.35,-2.29,-5.27,5,35,14.74
10.419,-2.64,-6.15,5,-33,14.76
10.493,0.35,-5.8,5,-26,14.77
10.587,4.39,-4.39,5,-34,14.77
10.666,3.34,-4.92,5,28,14.76
10.743,-0.35,-6.15,5,28,14.76
10.817,-2.29,-6.15,5,35,14.74
