t,pend,servo,mode,pwm,v
10.504,-1.58,-5.45,5,19,14.76
10.581,-2.46,-5.45,5,35,14.76
10.666,-1.76,-5.62,5,-33,14.77
10.758,2.29,-4.22,5,-17,14.77
10.846,2.64,-4.22,5,-34,14.77
10.954,-0.53,-5.27,5,19,14.78
11.037,-2.11,-5.45,5,35,14.7
11.112,-2.64,-6.33,5,-33,14.77
11.2,0.18,-5.8,5,-17,14.76
11.276,3.34,-4.92,5,-17,14.78
11.36,2.46,-5.45,5,19,14.76
11.44,0.18,-5.8,5,19,14.75
11.548,-1.93,-5.45,5,35,14.78
11.626,-2.64,-5.8,5,-33,14.76
11.708,-0.18,-4.92,5,-17,14.78
11.786,2.64,-4.04,5,-17,14.77
11.861,2.11,-4.22,5,19,14.75
11.951,-0.35,-5.1,5,19,14.62
12.045,-2.11,-5.45,5,35,14.77
12.158,-1.93,-6.5,5,-16,14.77
12.243,2.46,-5.27,5,-17,14.77
12.338,3.34,-5.27,5,-33,14.76
12.415,1.05,-5.98,5,19,14.77
12.49,-1.23,-5.98,5,19,14.77
12.569,-2.64,-5.8,5,35,14.76
12.654,-1.93,-5.98,5,-17,14.76
12.734,1.58,-4.39,5,-17,14.76
12.816,2.99,-4.04,5,-34,14.76
12.903,0.88,-4.75,5,19,14.77
13.01,-1.58,-4.92,5,19,14.77
13.083,-2.64,-5.27,5,35,14.7
13.18,-0.53,-5.27,5,-17,14.77
13.27,2.81,-4.39,5,-34,14.77
13.346,2.64,-4.57,5,19,14.76
13.451,0.35,-5.45,5,19,14.77
13.526,-1.76,-5.45,5,35,14.75
13.603,-2.81,-6.15,5,35,14.74
13.706,0.35,-5.45,5,-17,14.74
13.783,3.16,-4.39,5,-34,14.77
13.858,2.46,-4.75,5,19,14.77
13.933,0.18,-5.27,5,19,14.77
14.017,-1.76,-5.27,5,35,14.76
14.093,-2.64,-5.45,5,35,14.75
14.184,-0.53,-5.1,5,-17,14.76
14.257,2.29,-4.22,5,-17,14.78
14.332,2.81,-4.22,5,-34,14.77
14.41,0.88,-5.1,5,19,14.77
14.486,-1.23,-5.45,5,19,14.76
14.591,-2.29,-5.62,5,35,14.75
14.684,-0.88,-5.98,5,-17,14.77
14.79,2.64,-4.75,5,-17,14.77
14.873,1.93,-5.1,5,19,14.77
14.946,-0.35,-5.62,5,19,14.77
15.022,-1.93,-5.62,5,35,14.76
15.093,-2.99,-6.33,5,35,14.75
15.173,-1.05,-6.15,5,-16,14.77
15.251,2.81,-4.75,5,-17,14.77
15.341,2.99,-4.92,5,19,14.76
15.412,0.7,-5.62,5,19,14.77
15.485,-1.23,-5.62,5,19,14.78
15.568,-2.64,-5.62,5,35,14.78
15.65,-2.46,-6.15,5,-16,14.71
15.722,1.41,-4.92,5,-17,14.77
15.794,3.34,-4.39,5,-34,14.77
15.88,2.29,-4.92,5,19,14.78
15.956,-0.53,-5.45,5,19,14.76
16.033,-2.11,-5.45,5,35,14.74
16.114,-2.99,-6.15,5,-33,14.76
16.198,0.0,-5.45,5,-17,14.76
16.272,3.16,-4.39,5,-17,14.77
16.402,2.11,-4.92,5,19,14.77
16.478,-1.05,-5.45,5,35,14.76
16.56,-2.29,-5.45,5,35,14.75
16.639,-2.29,-5.98,5,-33,14.76
16.75,2.29,-4.57,5,-17,14.76
16.827,2.99,-4.57,5,19,14.76
16.904,1.05,-5.27,5,19,14.77
16.994,-1.23,-5.62,5,19,14.76
17.071,-2.29,-5.62,5,35,14.76
17.162,-1.76,-6.15,5,-16,14.77
17.24,1.76,-4.92,5,-17,14.77
17.332,2.81,-4.75,5,-34,14.77
17.408,0.88,-5.45,5,19,14.78
17.479,-1.05,-5.62,5,19,14.75
17.556,-2.29,-5.8,5,35,14.77
17.655,-1.93,-6.33,5,-16,14.77
17.741,1.58,-5.1,5,-17,14.77
17.828,3.16,-4.75,5,19,14.78
17.905,1.05,-5.45,5,19,14.76
17.979,-1.05,-5.62,5,19,14.76
18.062,-2.46,-5.62,5,35,14.75
18.15,-2.29,-5.98,5,-16,14.76
18.234,1.76,-4.57,5,-34,14.76
18.339,2.81,-4.39,5,-34,14.77
18.439,0.0,-5.27,5,19,14.74
18.517,-1.76,-5.27,5,35,14.65
18.591,-2.81,-5.98,5,35,14.74
18.674,-1.05,-5.98,5,-17,14.76
18.772,3.16,-4.57,5,-17,14.77
18.858,2.64,-4.92,5,19,14.76
18.943,0.18,-5.62,5,19,14.77
19.015,-1.76,-5.45,5,35,14.77
19.098,-2.64,-5.8,5,35,14.74
19.174,-1.23,-5.8,5,-17,14.78
19.254,2.46,-4.39,5,-17,14.77
19.329,2.99,-4.39,5,-34,14.76
19.413,0.88,-5.27,5,19,14.77
19.506,-1.23,-5.45,5,35,14.77
19.599,-2.64,-5.8,5,35,14.77
19.672,-1.05,-5.98,5,-17,14.76
19.755,2.46,-4.75,5,-17,14.77
19.846,2.64,-4.75,5,19,14.76
19.926,0.35,-5.45,5,19,14.77
20.003,-1.58,-5.45,5,19,14.77
20.091,-2.81,-5.98,5,35,14.75
20.175,-1.58,-6.15,5,-16,14.77
20.252,2.46,-4.75,5,-17,14.76
20.339,3.16,-4.57,5,-34,14.76
20.426,0.7,-5.45,5,19,14.76
20.527,-1.76,-5.45,5,19,14.75
20.616,-2.64,-5.8,5,35,14.76
20.732,0.7,-4.92,5,-17,14.77
20.842,2.64,-4.39,5,19,14.76
20.938,0.0,-5.27,5,19,14.75
21.019,-1.58,-5.45,5,19,14.76
21.104,-2.29,-5.62,5,35,14.75
21.192,-0.53,-5.45,5,-17,14.77
21.271,2.46,-4.39,5,-17,14.77
21.361,2.29,-4.57,5,19,14.77
21.436,0.0,-5.27,5,19,14.76
21.527,-1.93,-5.62,5,35,14.76
21.6,-2.81,-6.5,5,35,14.74
21.679,-0.88,-6.5,5,-16,14.77
21.754,2.99,-5.27,5,-17,14.76
21.852,3.16,-5.45,5,-33,14.77
21.943,0.0,-5.98,5,19,14.74
22.044,-2.29,-5.8,5,35,14.78
22.133,-2.99,-6.33,5,-33,14.77
22.225,0.53,-5.1,5,-17,14.77
22.306,3.34,-4.04,5,-34,14.74
22.394,1.58,-4.75,5,19,14.77
22.469,-0.88,-5.1,5,19,14.77
22.545,-2.11,-5.1,5,35,14.75
22.625,-2.64,-5.62,5,-33,14.77
22.702,0.0,-4.92,5,-17,14.77
22.778,2.64,-4.22,5,-17,14.78
22.868,2.29,-4.57,5,34,14.76
22.95,-0.35,-5.27,5,19,14.76
23.024,-1.76,-5.45,5,35,14.74
23.112,-2.64,-6.15,5,35,14.74
23.195,0.18,-5.8,5,-17,14.76
23.285,3.34,-4.75,5,-17,14.77
23.363,2.46,-5.27,5,19,14.76
23.443,0.0,-5.62,5,19,14.75
23.526,-1.76,-5.62,5,19,14.75
23.613,-2.64,-5.8,5,-33,14.74
23.699,-0.35,-5.1,5,-17,14.77
23.78,2.46,-4.04,5,-34,14.77
23.886,1.76,-4.57,5,19,14.76
23.984,-1.23,-5.27,5,35,14.75
24.082,-2.64,-5.98,5,35,14.74
24.161,-1.76,-6.68,5,-15,14.76
24.249,2.64,-5.45,5,-17,14.75
24.341,3.34,-5.45,5,-33,14.77
24.421,0.7,-5.98,5,19,14.76
24.508,-1.23,-5.8,5,19,14.76
24.588,-2.81,-5.8,5,35,14.74
24.704,-0.88,-5.45,5,-17,14.77
24.797,3.16,-3.87,5,-17,14.76
24.876,1.93,-4.39,5,19,14.76
24.959,-0.7,-4.92,5,19,14.76
25.043,-2.11,-5.1,5,35,14.75
25.121,-2.81,-6.15,5,-33,14.77
25.2,0.53,-5.45,5,-17,14.76
25.276,3.34,-4.57,5,-34,14.76
25.354,2.81,-4.92,5,19,14.77
25.437,0.18,-5.62,5,19,14.77
25.522,-1.76,-5.62,5,35,14.77
25.628,-2.99,-6.15,5,-33,14.76
25.704,0.18,-5.45,5,-17,14.77
25.779,3.16,-4.22,5,-34,14.71
25.857,2.46,-4.75,5,-34,14.76
25.94,-0.18,-5.27,5,19,14.76
26.033,-2.11,-5.27,5,19,14.74
26.105,-2.64,-5.62,5,35,14.75
26.179,-0.88,-5.45,5,-17,14.77
26.262,2.29,-4.22,5,-17,14.77
26.335,2.64,-4.39,5,-34,14.76
26.414,0.88,-5.1,5,19,14.77
26.491,-1.23,-5.27,5,19,14.74
26.569,-2.46,-5.62,5,35,14.78
26.646,-1.93,-6.15,5,-16,14.78
26.753,2.46,-4.75,5,-17,14.77
26.829,2.99,-4.75,5,19,14.77
26.901,1.05,-5.45,5,19,14.76
26.983,-1.05,-5.45,5,19,14.76
27.062,-2.46,-5.62,5,35,14.76
27.136,-2.81,-6.5,5,-33,14.77
27.212,0.88,-5.27,5,-17,14.75
27.298,3.52,-4.57,5,-34,14.76
27.374,2.29,-5.1,5,19,14.77
27.479,-0.53,-5.62,5,19,14.77
27.562,-2.64,-5.45,5,19,14.75
27.658,-2.64,-6.15,5,-33,14.76
27.728,1.58,-4.75,5,-17,14.75
27.814,3.34,-4.22,5,-34,14.77
27.9,1.41,-5.1,5,19,14.77
28.012,-1.76,-5.45,5,35,14.77
28.109,-2.99,-6.15,5,-33,14.74
28.187,-0.35,-5.8,5,-17,14.77
28.26,2.99,-4.57,5,-17,14.78
28.347,2.99,-4.75,5,19,14.72
28.421,0.53,-5.45,5,19,14.76
28.505,-1.93,-5.98,5,35,14.77
28.587,-2.64,-6.15,5,35,14.74
28.697,-0.35,-6.15,5,-16,14.77
28.781,3.34,-4.92,5,-34,14.77
28.859,2.46,-5.45,5,35,14.75
28.935,0.18,-5.98,5,19,14.76
29.026,-1.76,-5.8,5,35,14.74
29.102,-2.99,-6.33,5,35,14.74
29.202,0.18,-5.62,5,-17,14.71
29.368,2.29,-5.1,5,19,14.63
29.468,-0.35,-5.45,5,35,14.76
29.564,-2.64,-5.45,5,19,14.74
29.637,-2.64,-6.15,5,-33,14.77
