t,pend,servo,mode,pwm,v
0.063,0.0,0.0,5,-35,14.77
0.14,0.0,0.0,5,-35,14.76
0.242,-0.18,0.0,5,-35,14.71
0.32,-4.22,-3.87,5,38,14.72
0.394,-7.91,-9.84,5,37,14.73
0.475,-5.1,-14.41,5,-30,14.76
0.547,6.15,-13.89,5,-30,14.76
0.638,11.6,-15.12,5,-31,14.76
0.734,1.05,-23.2,5,36,14.73
0.816,-12.66,-34.1,5,35,14.74
0.893,-5.62,-33.57,5,-16,14.76
0.975,11.6,-26.89,5,-21,14.76
1.058,14.24,-26.02,5,36,14.74
1.149,-5.1,-35.86,5,34,14.75
1.243,-14.24,-39.73,5,-13,14.76
1.328,1.05,-30.76,5,-18,14.76
1.421,16.35,-21.27,5,-25,14.76
1.497,7.21,-23.91,5,36,14.73
1.571,-12.48,-32.87,5,35,14.74
1.661,-16.88,-34.63,5,-16,14.76
1.738,3.52,-24.08,5,-23,14.76
1.814,18.28,-16.17,5,-29,14.76
1.886,11.95,-18.28,5,37,14.72
1.967,-12.3,-30.94,5,35,14.74
2.062,-20.39,-35.86,5,-16,14.77
2.159,1.58,-25.84,5,-22,14.69
2.235,21.97,-16.52,5,-29,14.76
2.328,9.32,-22.85,5,36,14.74
2.399,-18.11,-37.62,5,34,14.74
2.481,-20.74,-39.73,5,-13,14.77
2.56,2.81,-29.18,5,-20,14.76
2.672,23.38,-19.69,5,37,14.73
2.76,1.23,-30.41,5,35,14.7
2.832,-20.74,-41.31,5,34,14.74
2.906,-18.98,-40.43,5,-12,14.76
2.985,5.8,-27.77,5,-20,14.76
3.063,23.73,-18.63,5,-27,14.68
3.138,13.89,-22.15,5,36,14.74
3.229,-13.54,-35.33,5,34,14.74
3.311,-23.38,-39.73,5,-13,14.68
3.396,1.05,-28.12,5,-20,14.77
3.5,24.79,-16.88,5,-28,14.76
3.604,-0.7,-29.0,5,36,14.74
3.683,-24.26,-40.96,5,34,14.75
3.77,-18.11,-38.32,5,-14,14.76
3.862,17.75,-20.74,5,-26,14.77
3.933,25.31,-17.05,5,38,14.72
4.016,2.29,-28.48,5,36,14.74
4.104,-23.73,-41.66,5,34,14.75
4.222,-18.11,-39.2,5,-13,14.76
4.303,21.62,-19.86,5,-26,14.75
4.385,21.62,-19.51,5,37,14.73
4.465,-8.61,-34.8,5,35,14.74
4.541,-26.19,-43.24,5,32,14.75
4.621,-11.95,-36.39,5,-15,14.76
4.7,17.4,-21.62,5,-24,14.76
4.775,26.37,-17.05,5,38,14.72
4.881,-7.21,-33.4,5,34,14.74
4.954,-26.54,-42.72,5,32,14.75
5.037,-17.23,-38.85,5,-13,14.76
5.122,14.77,-23.38,5,-24,14.76
5.206,26.02,-18.11,5,38,14.72
5.288,2.64,-29.0,5,35,14.74
5.367,-24.43,-42.01,5,32,14.75
5.459,-16.17,-38.15,5,-14,14.76
5.549,17.23,-21.45,5,-25,14.76
5.631,26.19,-16.7,5,38,14.73
5.716,5.45,-26.37,5,36,14.74
5.788,-24.79,-40.96,5,34,14.74
5.867,-23.03,-40.43,5,-12,14.76
5.961,12.48,-23.55,5,-24,14.76
6.039,27.77,-16.52,5,-29,14.75
6.12,9.32,-25.14,5,36,14.75
6.193,-20.21,-40.08,5,34,14.75
6.269,-26.54,-43.24,5,-11,14.76
6.348,-2.81,-32.17,5,-18,14.77
6.433,23.91,-19.51,5,-27,14.76
6.51,22.15,-20.21,5,37,14.73
6.586,-7.73,-35.16,5,35,14.74
6.665,-27.42,-44.3,5,33,14.75
6.759,-14.77,-38.5,5,-14,14.76
6.843,20.92,-20.74,5,-26,14.78
6.914,26.19,-17.75,5,38,14.72
6.987,3.69,-28.12,5,36,14.74
7.066,-22.85,-41.13,5,34,14.7
7.138,-23.91,-41.31,5,-12,14.76
7.221,4.75,-27.07,5,-20,14.76
7.3,26.89,-16.17,5,-28,14.76
7.385,14.59,-21.62,5,36,14.74
7.464,-17.58,-38.15,5,34,14.75
7.55,-27.77,-43.07,5,-11,14.76
7.626,-2.81,-31.64,5,-18,14.76
7.699,23.91,-18.81,5,-26,14.76
7.792,20.57,-20.21,5,36,14.73
7.875,-13.01,-37.27,5,34,14.68
7.961,-27.77,-44.12,5,33,14.75
8.049,-9.14,-35.68,5,-16,14.76
8.122,23.2,-20.04,5,-26,14.76
8.201,24.79,-18.81,5,37,14.73
8.27,0.7,-30.59,5,35,14.75
8.366,-24.61,-42.72,5,32,14.76
8.441,-18.98,-40.25,5,-12,14.77
8.524,14.41,-23.91,5,-23,14.76
8.623,27.25,-17.58,5,38,14.72
8.707,2.29,-29.36,5,36,14.64
8.789,-27.25,-43.59,5,33,14.75
8.863,-19.51,-40.25,5,-12,14.76
8.938,10.72,-25.31,5,-22,14.76
9.022,28.12,-17.4,5,-28,14.77
9.114,10.37,-25.31,5,36,14.68
9.216,-26.72,-43.59,5,33,14.73
9.294,-17.75,-39.55,5,-12,14.78
9.407,23.73,-19.16,5,-27,14.77
9.485,24.96,-18.11,5,38,14.72
