t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.037,11.43,14.59,14.59,-54,5,14.596,27.0,394.0
0.113,21.27,23.73,23.73,-53,5,14.616,23.8,348.0
0.191,26.89,18.28,18.28,52,5,14.472,56.2,812.0
0.265,10.02,-13.89,-13.89,54,5,14.48,54.4,786.0
0.347,-8.09,-34.98,-34.98,54,5,14.48,54.5,774.0
0.446,-19.51,-15.12,-15.12,-53,5,14.608,26.0,380.0
0.559,-0.18,57.83,57.83,-54,5,14.596,29.5,412.0
0.655,2.81,70.14,70.14,54,5,14.468,57.6,832.0
0.761,-36.39,-6.15,-6.15,50,5,14.54,42.8,622.0
0.844,-65.74,-61.17,-61.17,42,5,14.624,22.9,334.0
0.932,-79.98,-66.27,-66.27,-38,5,14.696,4.7,68.0
1.013,-81.56,-21.27,-21.27,-37,5,14.696,6.1,88.0
1.088,-60.47,56.43,56.43,-43,5,14.68,9.5,140.0
1.163,-60.82,91.23,91.23,43,5,14.696,3.9,56.0
1.239,-66.8,89.82,89.82,42,5,14.684,6.8,98.0
1.319,-84.38,39.9,39.9,37,5,14.672,11.2,164.0
1.397,-116.54,-31.82,-31.82,28,5,14.692,5.0,72.0
1.471,-103.01,-41.84,-41.84,-31,5,14.712,5.4,78.0
1.547,-76.99,-17.58,-17.58,-38,5,14.696,4.6,68.0
1.621,-33.4,32.7,32.7,-50,5,14.656,13.0,190.0
1.711,-0.35,64.69,64.69,-54,5,14.596,27.4,400.0
1.785,17.58,56.78,56.78,53,5,14.476,57.1,826.0
1.855,8.96,4.92,4.92,54,5,14.48,57.6,836.0
1.931,-7.38,-54.14,-54.14,54,5,14.472,56.5,820.0
2.012,-14.59,-73.3,-73.3,54,5,14.472,55.6,802.0
2.1,-17.75,-42.89,-42.89,-53,5,14.548,34.3,502.0
2.177,11.07,33.93,33.93,-54,5,14.62,26.3,384.0
2.256,25.84,92.46,92.46,52,5,14.5,52.8,764.0
2.344,23.38,100.55,100.55,-52,5,14.62,23.2,340.0
2.417,16.52,65.92,65.92,53,5,14.488,52.2,756.0
2.514,-39.38,-42.89,-42.89,49,5,14.512,42.9,622.0
2.591,-58.18,-93.52,-93.52,-44,5,14.68,9.0,132.0
2.674,-71.02,-103.36,-103.36,40,5,14.632,20.5,302.0
2.753,-85.25,-72.77,-72.77,-36,5,14.704,5.9,86.0
2.841,-68.56,25.49,25.49,-41,5,14.692,5.0,72.0
2.929,-63.46,107.58,107.58,42,5,14.596,27.4,400.0
3.025,-78.93,127.27,127.27,-38,5,14.672,9.3,138.0
3.108,-86.31,94.04,94.04,-36,5,14.7,5.8,58.0
3.198,-116.37,3.34,3.34,28,5,14.696,4.1,58.0
3.303,-84.73,-21.62,-21.62,36,5,14.656,13.1,194.0
3.393,-47.99,-13.36,-13.36,-47,5,14.688,9.0,132.0
3.468,-8.26,13.54,13.54,-54,5,14.624,22.0,322.0
3.541,35.86,43.24,43.24,-50,5,14.648,9.6,140.0
3.634,68.03,46.76,46.76,41,5,14.624,25.8,376.0
3.748,67.5,-21.09,-21.09,41,5,14.62,21.5,314.0
3.835,66.27,-51.85,-51.85,42,5,14.604,24.9,364.0
3.934,70.84,-32.17,-32.17,-40,5,14.692,6.0,88.0
4.008,89.12,22.15,22.15,-35,5,14.696,4.8,72.0
4.092,90.53,56.6,56.6,-35,5,14.7,5.2,76.0
4.168,73.3,43.59,43.59,39,5,14.656,14.6,212.0
4.255,28.65,-10.9,-10.9,51,5,14.476,53.5,776.0
4.332,-6.68,-50.45,-50.45,54,5,14.492,52.5,760.0
4.432,-36.03,-50.45,-50.45,-50,5,14.624,19.2,282.0
4.504,-43.07,-2.81,-2.81,-48,5,14.656,12.5,184.0
4.591,-35.33,62.4,62.4,-50,5,14.636,18.4,268.0
4.676,-42.89,90.7,90.7,49,5,14.524,43.5,632.0
4.75,-54.67,68.91,68.91,45,5,14.58,30.5,446.0
4.823,-92.28,4.57,4.57,34,5,14.688,6.7,98.0
4.898,-116.54,-45.18,-45.18,28,5,14.704,5.8,86.0
4.993,-97.38,-35.16,-35.16,-33,5,14.696,4.5,66.0
5.077,-56.78,20.39,20.39,-43,5,14.68,7.7,114.0
5.163,-25.14,63.81,63.81,-52,5,14.632,20.6,302.0
5.233,-6.86,68.91,68.91,54,5,14.46,59.8,866.0
5.305,-7.38,32.34,32.34,54,5,14.484,54.9,796.0
5.391,-34.98,-46.76,-46.76,50,5,14.512,44.2,642.0
5.469,-42.72,-74.71,-74.71,48,5,14.536,42.0,610.0
5.544,-49.22,-63.81,-63.81,-47,5,14.652,15.4,226.0
5.645,-24.96,24.96,24.96,-52,5,14.648,18.0,262.0
5.721,-9.14,85.78,85.78,-54,5,14.596,28.6,416.0
5.803,-9.49,105.12,105.12,-54,5,14.46,56.2,816.0
5.879,-12.66,80.86,80.86,54,5,14.476,55.9,810.0
5.952,-39.02,13.89,13.89,49,5,14.544,40.3,586.0
6.029,-74.53,-67.32,-67.32,39,5,14.648,17.4,256.0
6.103,-82.97,-96.15,-96.15,-37,5,14.692,5.1,76.0
6.186,-90.53,-87.89,-87.89,-35,5,14.692,7.8,114.0
6.257,-90.53,-36.91,-36.91,-35,5,14.696,4.7,68.0
6.328,-59.59,53.09,53.09,-44,5,14.684,7.2,104.0
6.409,-56.07,106.7,106.7,45,5,14.564,33.3,484.0
6.498,-63.63,118.3,118.3,-42,5,14.684,9.2,134.0
6.582,-70.31,79.1,79.1,41,5,14.632,20.0,292.0
6.653,-106.17,-6.33,-6.33,30,5,14.696,4.1,58.0
6.734,-111.09,-58.36,-58.36,29,5,14.688,0.7,10.0
6.813,-90.7,-61.35,-61.35,-34,5,14.676,7.8,114.0
6.893,-60.29,-20.57,-20.57,-43,5,14.696,5.3,78.0
6.982,-1.76,55.72,55.72,-54,5,14.624,22.7,330.0
7.053,25.14,87.72,87.72,-52,5,14.632,21.1,308.0
7.129,44.65,80.68,80.68,48,5,14.528,44.3,642.0
7.222,36.56,7.56,7.56,50,5,14.492,48.9,712.0
7.299,18.46,-65.57,-65.57,53,5,14.492,53.8,780.0
7.372,14.77,-93.34,-93.34,-54,5,14.592,29.1,426.0
7.443,10.2,-85.08,-85.08,-54,5,14.588,30.6,446.0
7.53,16.88,-25.84,-25.84,-53,5,14.548,35.0,512.0
7.615,54.84,71.19,71.19,-45,5,14.684,7.9,114.0
7.709,54.67,115.14,115.14,45,5,14.584,30.9,448.0
7.785,48.34,105.12,105.12,-47,5,14.66,11.5,168.0
7.858,36.03,56.07,56.07,50,5,14.524,44.2,642.0
7.941,-18.28,-46.58,-46.58,53,5,14.48,53.2,770.0
8.055,-42.72,-113.73,-113.73,-48,5,14.652,15.3,222.0
8.153,-56.95,-113.56,-113.56,44,5,14.596,32.0,468.0
8.232,-75.06,-54.67,-54.67,-39,5,14.688,5.6,82.0
8.305,-52.21,43.95,43.95,-46,5,14.684,8.3,122.0
8.381,-53.09,113.38,113.38,46,5,14.568,33.0,482.0
8.461,-71.72,144.67,144.67,40,5,14.632,19.8,288.0
8.544,-83.85,135.53,135.53,-37,5,14.692,5.9,86.0
8.634,-93.16,72.95,72.95,34,5,14.696,7.5,112.0
8.708,-111.44,-1.58,-1.58,29,5,14.692,5.6,82.0
8.791,-84.73,-24.61,-24.61,36,5,14.636,16.5,242.0
8.865,-57.66,-24.43,-24.43,-44,5,14.684,7.6,112.0
8.949,-19.69,-1.23,-1.23,-53,5,14.644,18.0,262.0
9.026,34.8,39.38,39.38,-50,5,14.656,17.2,252.0
9.115,70.31,53.44,53.44,40,5,14.704,4.1,58.0
9.19,83.5,28.48,28.48,37,5,14.66,11.8,174.0
9.278,75.41,-31.11,-31.11,39,5,14.628,19.1,278.0
9.355,76.82,-55.02,-55.02,39,5,14.648,17.7,258.0
9.449,82.97,-30.94,-30.94,-37,5,14.7,5.1,76.0
9.524,102.31,27.25,27.25,-31,5,14.696,5.7,86.0
9.6,101.78,54.14,54.14,-31,5,14.692,4.6,68.0
9.684,81.56,40.25,40.25,36,5,14.636,14.6,216.0
9.759,40.78,-8.09,-8.09,49,5,14.568,36.7,534.0
9.834,8.26,-43.77,-43.77,54,5,14.476,54.1,784.0
9.908,-16.52,-50.1,-50.1,-53,5,14.584,29.9,436.0
9.986,-28.48,-17.75,-17.75,-52,5,14.596,23.7,348.0
10.086,-16.17,65.57,65.57,-53,5,14.544,34.4,502.0
10.162,-18.46,88.59,88.59,-53,5,14.616,26.5,386.0
10.237,-23.55,73.12,73.12,52,5,14.484,53.7,776.0
10.307,-51.85,16.17,16.17,46,5,14.576,30.7,448.0
10.387,-89.3,-53.44,-53.44,36,5,14.684,7.5,112.0
10.463,-99.49,-72.95,-72.95,32,5,14.696,7.5,112.0
10.544,-103.01,-48.87,-48.87,-31,5,14.692,5.3,78.0
10.62,-81.56,19.51,19.51,-37,5,14.696,5.5,52.0
10.708,-66.27,86.48,86.48,-42,5,14.688,8.3,122.0
10.796,-68.73,92.99,92.99,-41,5,14.7,9.0,132.0
10.866,-76.64,58.36,58.36,39,5,14.648,16.2,236.0
10.943,-111.97,-19.34,-19.34,29,5,14.696,5.7,86.0
11.025,-113.03,-55.55,-55.55,29,5,14.692,6.4,96.0
11.11,-95.27,-40.96,-40.96,-33,5,14.692,-19.6,286.0
11.189,-54.49,18.98,18.98,-45,5,14.696,6.7,98.0
11.275,-19.69,70.66,70.66,-53,5,14.616,23.6,344.0
11.362,-3.34,77.52,77.52,54,5,14.464,60.6,874.0
11.445,-2.11,33.57,33.57,54,5,14.48,55.7,770.0
11.525,-31.64,-51.33,-51.33,51,5,14.464,56.0,810.0
11.608,-39.73,-82.09,-82.09,49,5,14.536,43.2,630.0
11.685,-48.16,-67.85,-67.85,-47,5,14.656,12.7,186.0
11.76,-40.25,-13.71,-13.71,-49,5,14.672,11.9,174.0
11.842,-10.55,77.87,77.87,-54,5,14.596,28.3,412.0
11.916,-10.55,110.22,110.22,54,5,14.452,59.0,852.0
12.011,-17.23,96.33,96.33,-53,5,14.608,25.6,374.0
12.094,-37.62,30.06,30.06,50,5,14.532,42.3,616.0
12.176,-81.03,-63.28,-63.28,37,5,14.668,13.3,196.0
12.263,-89.47,-99.49,-99.49,-35,5,14.7,4.9,72.0
12.346,-96.68,-88.77,-88.77,-33,5,14.68,7.8,114.0
12.428,-93.16,-30.76,-30.76,-34,5,14.696,4.3,62.0
12.506,-58.53,68.73,68.73,-44,5,14.684,8.2,122.0
12.581,-58.36,114.26,114.26,44,5,14.592,30.1,440.0
12.662,-65.04,121.29,121.29,-42,5,14.688,7.4,108.0
12.736,-68.91,88.59,88.59,41,5,14.688,5.5,82.0
12.826,-97.73,8.26,8.26,33,5,14.692,6.5,96.0
12.928,-107.75,-72.95,-72.95,30,5,14.688,5.8,86.0
12.999,-91.93,-68.73,-68.73,-34,5,14.7,5.8,86.0
13.081,-68.03,-28.65,-28.65,-41,5,14.692,5.8,86.0
13.164,-7.73,59.77,59.77,-54,5,14.584,27.3,400.0
13.246,17.23,96.33,96.33,53,5,14.456,61.7,892.0
13.324,30.76,87.01,87.01,51,5,14.472,56.3,816.0
13.406,23.73,24.43,24.43,52,5,14.5,52.0,738.0
13.501,-6.86,-73.12,-73.12,54,5,14.484,56.2,812.0
13.582,-11.95,-103.53,-103.53,-54,5,14.588,28.5,416.0
13.665,-17.75,-90.18,-90.18,53,5,14.484,54.0,784.0
13.758,-9.49,-10.55,-10.55,-54,5,14.62,24.4,358.0
13.831,21.8,81.39,81.39,-53,5,14.612,25.5,374.0
13.938,16.7,132.72,132.72,53,5,14.484,52.7,764.0
14.053,-0.88,120.06,120.06,-54,5,14.592,28.3,412.0
14.138,-13.36,53.61,53.61,54,5,14.492,52.2,756.0
14.211,-65.22,-54.84,-54.84,42,5,14.624,21.3,312.0
14.303,-75.41,-120.23,-120.23,-39,5,14.692,5.3,78.0
14.383,-78.57,-142.73,-142.73,-38,5,14.708,7.5,112.0
14.456,-86.48,-140.45,-140.45,36,5,14.684,11.5,170.0
14.543,-100.19,-106.35,-106.35,32,5,14.688,7.8,114.0
14.628,-98.97,-40.08,-40.08,-32,5,14.692,5.7,86.0
14.707,-57.48,82.27,82.27,-44,5,14.68,7.9,114.0
14.807,-66.09,148.36,148.36,42,5,14.624,22.1,324.0
14.909,-80.86,165.06,165.06,-41,4,14.692,5.9,86.0
15.004,-78.4,140.62,140.62,-41,4,14.708,4.1,58.0
15.077,-78.22,70.84,70.84,-42,4,14.684,9.2,134.0
15.151,-114.61,-33.4,-33.4,-31,4,14.696,4.5,66.0
15.254,-106.88,-105.47,-105.47,-33,4,14.704,3.1,46.0
15.327,-94.04,-113.2,-113.2,0,4,14.712,3.8,56.0
15.398,-84.9,-86.84,-86.84,0,4,14.7,2.8,42.0
15.475,-59.41,-15.82,-15.82,-7,4,14.696,5.9,86.0
15.556,-12.66,78.75,78.75,-57,4,14.596,28.4,412.0
15.632,0.88,119.36,119.36,-69,4,14.392,74.9,1078.0
15.735,21.97,110.22,110.22,47,4,14.496,22.9,330.0
15.811,22.85,58.53,58.53,45,4,14.584,30.8,448.0
15.882,-15.29,-38.67,-38.67,69,4,14.296,99.0,1416.0
15.98,-30.06,-113.56,-113.56,65,4,14.284,100.3,1432.0
16.051,-50.1,-128.85,-128.85,-17,4,14.696,4.9,72.0
16.132,-78.57,-101.95,-101.95,5,4,14.66,9.6,140.0
16.207,-91.06,-39.55,-39.55,0,4,14.704,5.0,72.0
16.279,-70.31,65.57,65.57,0,4,14.708,4.8,72.0
16.36,-80.68,122.69,122.69,6,4,14.696,4.2,62.0
16.465,-101.95,145.55,145.55,0,4,14.7,3.1,46.0
16.545,-103.01,108.63,108.63,0,4,14.564,-3.4,50.0
16.631,-118.65,33.75,33.75,0,4,14.7,4.5,66.0
16.703,-107.4,-29.0,-29.0,0,4,14.704,2.7,40.0
16.78,-83.67,-54.49,-54.49,0,4,14.704,5.2,76.0
16.865,-51.5,-42.72,-42.72,-16,4,14.7,3.5,52.0
16.951,1.93,9.67,9.67,-69,4,14.432,65.1,940.0
17.038,58.89,67.85,67.85,-45,4,14.68,7.3,108.0
17.116,90.53,86.31,86.31,0,4,14.712,3.8,56.0
17.189,106.17,61.7,61.7,0,4,14.7,3.8,58.0
17.291,91.76,-33.75,-33.75,0,4,14.712,3.3,50.0
17.372,96.33,-74.0,-74.0,0,4,14.7,4.1,58.0
17.446,102.66,-71.89,-71.89,0,4,14.7,4.8,72.0
17.525,110.22,-33.22,-33.22,0,4,14.704,3.0,42.0
17.61,127.44,41.31,41.31,0,4,14.708,2.4,36.0
17.683,112.32,59.94,59.94,0,4,14.696,6.1,88.0
17.767,86.13,44.82,44.82,0,4,14.716,5.8,86.0
17.843,42.01,-0.53,-0.53,24,4,14.7,5.5,82.0
