t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.044,0.0,0.0,0.0,35,5,14.784,10.6,158.0
0.118,-6.33,-6.33,-6.33,59,5,14.568,72.0,1048.0
0.191,-26.02,-22.32,-22.32,54,5,14.62,55.1,806.0
0.27,-46.93,-26.54,-26.54,-44,5,14.776,11.6,170.0
0.34,-50.45,-0.88,-0.88,-42,5,14.788,8.1,122.0
0.415,-46.23,32.87,32.87,-44,5,14.784,9.6,140.0
0.488,-48.69,42.72,42.72,43,5,14.736,23.0,340.0
0.588,-67.85,8.61,8.61,34,5,14.784,8.4,124.0
0.682,-85.78,-29.71,-29.71,27,5,14.8,4.0,58.0
0.751,-78.57,-20.74,-20.74,-17,5,14.796,4.3,62.0
0.835,-55.9,14.24,14.24,-39,5,14.796,5.8,86.0
0.93,-37.09,36.91,36.91,-22,5,14.788,6.1,92.0
1.009,-40.25,14.94,14.94,47,5,14.668,42.8,630.0
1.09,-62.75,-36.21,-36.21,37,5,14.768,13.0,194.0
1.172,-65.39,-44.65,-44.65,-35,5,14.792,6.4,96.0
1.246,-51.33,-12.83,-12.83,-42,5,14.796,6.5,96.0
1.317,-26.37,35.51,35.51,-53,5,14.732,23.3,344.0
1.4,-13.01,54.32,54.32,-32,5,14.796,5.2,76.0
1.48,-14.41,31.82,31.82,58,5,14.56,71.8,1046.0
1.562,-47.11,-34.1,-34.1,44,5,14.712,29.5,432.0
1.639,-62.4,-71.37,-71.37,37,5,14.768,14.5,212.0
1.719,-65.22,-57.13,-57.13,-36,5,14.8,5.9,88.0
1.792,-48.69,-4.04,-4.04,-43,5,14.792,6.8,102.0
1.885,-24.43,67.68,67.68,-54,5,14.712,29.0,426.0
1.966,-19.16,79.28,79.28,56,5,14.604,61.7,902.0
2.048,-25.66,44.12,44.12,54,5,14.612,56.1,820.0
2.136,-71.72,-47.64,-47.64,33,5,14.792,6.9,102.0
2.222,-81.74,-83.14,-83.14,24,5,14.796,6.9,102.0
2.3,-80.86,-68.38,-68.38,-13,5,14.796,4.0,58.0
2.399,-46.05,20.04,20.04,-44,5,14.796,6.0,88.0
2.469,-28.12,73.65,73.65,-53,5,14.732,25.0,368.0
2.571,-19.34,85.78,85.78,56,5,14.576,67.7,986.0
2.668,-34.98,23.38,23.38,50,5,14.648,47.2,692.0
2.74,-74.0,-57.48,-57.48,32,5,14.796,4.9,72.0
2.848,-81.39,-92.64,-92.64,-3,5,14.8,5.1,76.0
2.935,-78.75,-65.22,-65.22,-16,5,14.804,4.8,72.0
3.018,-42.19,24.08,24.08,-46,5,14.792,9.1,134.0
3.105,-23.38,86.66,86.66,-55,5,14.704,29.8,440.0
3.175,-19.51,96.33,96.33,-56,5,14.732,28.7,422.0
3.269,-20.92,58.53,58.53,56,5,14.588,63.5,928.0
3.348,-65.39,-37.44,-37.44,36,5,14.78,9.4,138.0
3.435,-79.1,-94.04,-94.04,-16,5,14.8,5.5,82.0
3.512,-80.16,-99.14,-99.14,29,5,14.78,9.6,140.0
3.606,-75.06,-56.78,-56.78,-23,5,14.796,4.8,72.0
3.68,-34.63,37.27,37.27,-50,5,14.772,13.7,204.0
3.766,-20.04,95.62,95.62,56,5,14.584,67.0,976.0
3.838,-19.34,105.64,105.64,-30,5,14.704,33.7,494.0
3.915,-19.34,77.17,77.17,56,5,14.592,65.9,964.0
3.988,-47.11,1.76,1.76,44,5,14.712,28.7,422.0
4.066,-77.69,-76.47,-76.47,30,5,14.796,6.1,92.0
4.151,-79.98,-109.51,-109.51,25,5,14.8,5.5,82.0
4.232,-80.16,-94.22,-94.22,29,5,14.796,6.1,92.0
4.317,-69.26,-39.38,-39.38,-34,5,14.804,4.3,62.0
4.387,-26.72,58.71,58.71,-53,5,14.736,22.5,330.0
4.48,-18.46,109.51,109.51,56,5,14.584,65.4,954.0
4.564,-20.39,108.11,108.11,-56,5,14.696,33.7,494.0
4.664,-28.3,39.9,39.9,53,5,14.624,55.1,806.0
4.751,-73.83,-65.74,-65.74,32,5,14.792,7.4,108.0
4.835,-77.17,-110.39,-110.39,-19,5,14.8,4.5,66.0
4.912,-76.29,-117.77,-117.77,31,5,14.792,8.4,124.0
4.999,-75.41,-78.75,-78.75,-22,5,14.8,5.3,78.0
5.101,-27.6,44.47,44.47,-53,5,14.752,19.4,286.0
5.18,-15.64,106.52,106.52,57,5,14.552,75.2,1094.0
5.292,-22.5,125.33,125.33,36,5,14.704,32.9,484.0
5.388,-23.73,81.03,81.03,55,5,14.592,61.6,898.0
5.463,-63.98,-22.32,-22.32,36,5,14.78,10.5,154.0
5.546,-82.09,-99.14,-99.14,-11,5,14.8,3.7,56.0
5.631,-79.1,-127.27,-127.27,-16,5,14.8,4.1,62.0
5.702,-79.1,-118.48,-118.48,30,5,14.792,6.0,88.0
5.786,-76.29,-70.14,-70.14,-21,5,14.804,5.7,86.0
5.867,-35.86,26.54,26.54,-49,5,14.776,10.8,168.0
5.945,-16.7,100.9,100.9,57,5,14.568,71.0,1036.0
6.019,-20.04,132.01,132.01,56,5,14.588,64.2,938.0
6.106,-26.19,128.67,128.67,-54,5,14.716,28.5,420.0
6.202,-26.54,65.92,65.92,54,5,14.616,57.2,836.0
6.304,-72.6,-45.7,-45.7,33,5,14.792,6.6,98.0
6.386,-78.4,-122.34,-122.34,-17,5,14.8,5.3,78.0
6.463,-73.3,-139.22,-139.22,-9,5,14.808,4.2,62.0
6.548,-74.71,-119.71,-119.71,32,5,14.792,6.8,102.0
6.626,-71.37,-64.86,-64.86,-29,5,14.8,5.9,88.0
6.713,-26.02,42.19,42.19,-54,5,14.74,22.7,330.0
6.801,-14.41,120.41,120.41,58,5,14.548,76.3,1110.0
6.894,-30.76,152.75,152.75,87,5,14.244,162.2,2310.0
6.969,-56.95,165.41,165.41,66,5,14.448,103.0,1488.0
7.046,-93.34,170.68,170.68,0,5,14.8,5.2,76.0
7.136,-111.8,137.28,137.28,0,5,14.8,5.6,82.0
7.225,-121.99,69.78,69.78,18,5,14.796,6.2,92.0
7.301,-159.08,-37.97,-37.97,12,5,14.792,6.4,96.0
7.396,-129.02,-61.17,-61.17,0,5,14.812,4.5,66.0
7.481,-91.93,-39.73,-39.73,0,5,14.8,3.9,58.0
7.559,-39.9,7.03,7.03,-47,5,14.796,7.6,112.0
7.643,13.89,52.91,52.91,-58,5,14.684,37.2,548.0
7.714,41.31,59.59,59.59,47,5,14.66,45.3,666.0
7.798,50.98,22.15,22.15,42,5,14.728,23.9,350.0
7.895,30.06,-64.69,-64.69,52,5,14.608,58.1,848.0
7.969,25.14,-88.77,-88.77,54,5,14.596,61.7,902.0
8.046,19.51,-73.83,-73.83,-56,5,14.692,34.6,508.0
8.133,38.15,-4.75,-4.75,-50,5,14.768,13.4,196.0
8.203,58.53,61.7,61.7,-39,5,14.796,6.1,92.0
8.299,50.27,78.93,78.93,-32,5,14.736,24.3,358.0
8.378,30.06,44.47,44.47,52,5,14.644,49.4,724.0
8.464,-31.11,-39.55,-39.55,52,5,14.644,48.4,708.0
8.542,-63.63,-91.41,-91.41,-36,5,14.788,7.2,108.0
8.613,-82.97,-98.79,-98.79,28,5,14.796,5.8,86.0
8.686,-97.56,-67.32,-67.32,0,5,14.804,3.9,58.0
8.761,-85.25,11.78,11.78,-5,5,14.804,3.9,58.0
8.84,-79.81,83.85,83.85,-15,5,14.796,5.6,82.0
8.933,-90.53,106.35,106.35,0,5,14.804,2.7,40.0
9.033,-97.56,64.16,64.16,24,5,14.792,6.5,96.0
9.107,-127.79,-18.63,-18.63,16,5,14.792,5.6,82.0
9.181,-137.11,-71.89,-71.89,15,5,14.8,4.3,62.0
9.258,-129.55,-83.85,-83.85,0,5,14.804,4.1,62.0
9.34,-116.72,-56.43,-56.43,0,5,14.8,4.7,68.0
9.446,-70.66,25.31,25.31,-29,5,14.8,5.3,78.0
9.52,-45.18,80.16,80.16,-45,5,14.78,8.4,124.0
9.626,-37.62,65.39,65.39,49,5,14.652,47.2,692.0
9.696,-65.22,-11.25,-11.25,36,5,14.78,9.7,144.0
9.772,-82.44,-66.62,-66.62,29,5,14.796,5.2,76.0
9.846,-81.91,-82.44,-82.44,-11,5,14.804,3.9,58.0
9.951,-69.61,-39.02,-39.02,-34,5,14.8,4.5,66.0
10.029,-29.88,45.7,45.7,-51,5,14.756,18.1,266.0
10.114,-16.88,83.85,83.85,-57,5,14.688,36.7,538.0
10.195,-10.9,72.95,72.95,58,5,14.56,71.9,1048.0
10.271,-31.99,13.89,13.89,51,5,14.584,60.5,884.0
10.352,-71.02,-67.85,-67.85,33,5,14.784,8.3,122.0
10.43,-78.57,-95.8,-95.8,-17,5,14.804,4.0,58.0
10.506,-82.62,-83.67,-83.67,-10,5,14.8,4.5,66.0
10.581,-73.3,-29.18,-29.18,-26,5,14.788,5.3,78.0
10.658,-41.66,53.79,53.79,-47,5,14.78,11.3,168.0
10.751,-37.62,98.09,98.09,49,5,14.652,47.2,692.0
10.825,-39.9,90.18,90.18,-48,5,14.764,14.9,220.0
10.905,-53.26,36.21,36.21,41,5,14.744,23.3,344.0
10.98,-94.39,-52.03,-52.03,25,5,14.804,5.9,88.0
11.065,-99.84,-89.12,-89.12,21,5,14.8,4.4,62.0
11.149,-97.03,-76.64,-76.64,0,5,14.8,3.9,58.0
11.232,-72.6,-8.09,-8.09,-27,5,14.8,4.8,72.0
11.318,-40.78,70.84,70.84,-47,5,14.772,11.3,168.0
11.396,-34.8,90.88,90.88,-24,5,14.728,28.8,422.0
11.477,-34.28,67.32,67.32,50,5,14.64,50.6,740.0
11.563,-71.37,-17.75,-17.75,33,5,14.792,7.1,104.0
11.641,-90.88,-76.29,-76.29,26,5,14.796,5.0,76.0
11.716,-92.11,-87.72,-87.72,0,5,14.804,5.0,76.0
11.788,-87.89,-60.29,-60.29,-2,5,14.8,3.8,56.0
11.865,-56.25,15.47,15.47,-40,5,14.804,4.3,62.0
11.948,-36.56,75.76,75.76,-49,5,14.76,15.2,222.0
12.034,-30.94,88.24,88.24,52,5,14.628,55.6,812.0
12.115,-37.27,47.64,47.64,49,5,14.64,47.0,688.0
12.187,-77.17,-32.34,-32.34,31,5,14.796,5.4,78.0
12.279,-91.93,-84.38,-84.38,25,5,14.796,5.7,86.0
12.354,-92.28,-80.86,-80.86,0,5,14.8,4.3,62.0
12.437,-82.09,-36.39,-36.39,-8,5,14.808,6.0,88.0
12.515,-45.18,49.57,49.57,-45,5,14.788,8.1,122.0
12.584,-37.44,85.25,85.25,-49,5,14.756,15.8,232.0
12.679,-34.63,77.17,77.17,50,5,14.64,49.4,724.0
12.762,-57.66,13.01,13.01,39,5,14.756,16.1,240.0
12.883,-94.92,-79.45,-79.45,24,5,14.796,3.4,50.0
12.979,-94.04,-72.42,-72.42,0,5,14.804,3.4,50.0
13.063,-70.31,-5.27,-5.27,-31,5,14.796,6.5,96.0
13.14,-43.07,63.46,63.46,-46,5,14.692,24.9,368.0
13.264,-36.03,81.03,81.03,49,5,14.636,49.7,728.0
13.379,-61.17,8.26,8.26,38,5,14.78,11.3,168.0
13.456,-93.34,-69.96,-69.96,25,5,14.796,4.2,62.0
13.564,-94.22,-77.87,-77.87,0,5,14.796,-22.7,334.0
13.638,-78.75,-24.61,-24.61,-15,5,14.796,4.7,68.0
13.721,-46.41,46.58,46.58,-44,5,14.792,7.8,114.0
13.793,-37.09,81.74,81.74,-49,5,14.76,18.2,268.0
13.869,-35.51,70.66,70.66,50,5,14.512,45.1,652.0
13.96,-67.32,-5.62,-5.62,35,5,14.788,7.4,108.0
14.046,-91.76,-66.62,-66.62,25,5,14.796,5.9,88.0
14.137,-93.69,-76.82,-76.82,0,5,14.804,4.2,62.0
14.21,-82.62,-34.1,-34.1,-10,5,14.8,5.4,78.0
14.284,-49.22,38.85,38.85,-43,5,14.804,2.9,42.0
14.358,-39.2,75.94,75.94,-48,5,14.768,14.4,212.0
14.433,-36.03,76.64,76.64,49,5,14.636,52.0,760.0
14.521,-55.2,17.58,17.58,40,5,14.752,17.0,252.0
14.602,-89.12,-56.07,-56.07,26,5,14.792,6.8,102.0
