t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.047,0.0,0.0,0.0,-35,5,14.776,4.6,68.0
0.132,0.0,0.0,0.0,-35,5,14.764,6.0,88.0
0.21,-3.87,-4.04,-4.04,54,5,14.58,57.2,836.0
0.287,-22.15,-19.34,-19.34,53,5,14.596,53.7,784.0
0.363,-41.66,-25.49,-25.49,38,5,14.736,14.1,206.0
0.461,-48.52,4.04,4.04,-47,5,14.748,12.0,176.0
0.543,-43.95,38.5,38.5,-48,5,14.74,14.0,206.0
0.619,-46.05,40.6,40.6,47,5,14.64,41.7,610.0
0.691,-64.16,7.38,7.38,42,5,14.704,24.5,360.0
0.784,-86.84,-33.57,-33.57,0,5,14.776,3.8,56.0
0.868,-84.55,-27.77,-27.77,0,5,14.78,5.3,78.0
0.944,-63.81,12.48,12.48,-16,5,14.784,5.2,76.0
1.042,-47.46,43.42,43.42,-47,5,14.756,13.5,200.0
1.141,-55.72,12.83,12.83,45,5,14.684,32.3,476.0
1.228,-79.81,-39.2,-39.2,6,5,14.776,2.6,40.0
1.304,-80.16,-43.95,-43.95,0,5,14.78,3.4,50.0
1.385,-61.7,-5.62,-5.62,-27,5,14.776,4.3,62.0
1.473,-37.62,41.66,41.66,-50,5,14.732,15.9,232.0
1.558,-27.77,49.57,49.57,52,5,14.576,59.1,836.0
1.642,-42.72,7.56,7.56,49,5,14.64,41.0,600.0
1.716,-71.02,-52.03,-52.03,40,5,14.72,17.8,262.0
1.799,-78.22,-64.34,-64.34,4,5,14.776,5.1,76.0
1.896,-65.74,-15.29,-15.29,-17,5,14.768,5.1,76.0
1.971,-41.48,46.93,46.93,-49,5,14.744,14.6,216.0
2.048,-35.16,70.49,70.49,-50,5,14.72,17.9,262.0
2.121,-37.09,53.79,53.79,50,5,14.596,52.5,750.0
2.201,-68.38,-11.6,-11.6,41,5,14.716,20.2,298.0
2.277,-90.35,-64.86,-64.86,0,5,14.776,4.0,58.0
2.387,-90.35,-61.0,-61.0,0,5,14.78,3.2,46.0
2.49,-56.78,20.04,20.04,-39,5,14.768,5.8,86.0
2.571,-39.55,70.49,70.49,-49,5,14.736,18.4,272.0
2.647,-35.51,68.03,68.03,50,5,14.612,49.7,728.0
2.725,-49.04,23.91,23.91,47,5,14.66,35.0,514.0
2.815,-87.01,-58.53,-58.53,0,5,14.776,4.0,58.0
2.903,-90.18,-75.23,-75.23,0,5,14.784,4.5,66.0
2.981,-82.62,-44.3,-44.3,0,5,14.74,10.1,150.0
3.06,-47.28,34.1,34.1,-47,5,14.752,9.8,144.0
3.132,-35.51,72.25,72.25,-50,5,14.728,17.1,252.0
3.205,-30.23,75.94,75.94,51,5,14.588,54.4,792.0
3.281,-38.85,36.03,36.03,49,5,14.604,46.8,682.0
3.361,-79.1,-46.76,-46.76,5,5,14.784,4.5,66.0
3.441,-88.24,-82.44,-82.44,0,5,14.78,2.2,32.0
3.526,-87.36,-69.78,-69.78,0,5,14.784,3.4,50.0
3.6,-71.02,-17.4,-17.4,-5,5,14.788,3.4,50.0
3.728,-39.55,61.0,61.0,-49,5,14.74,15.7,232.0
3.8,-30.59,81.91,81.91,51,5,14.596,55.9,816.0
3.878,-39.9,38.85,38.85,49,5,14.62,45.8,668.0
3.955,-81.74,-45.35,-45.35,0,5,14.772,3.1,46.0
4.056,-92.11,-87.36,-87.36,0,5,14.784,2.8,42.0
4.13,-92.11,-77.17,-77.17,0,5,14.776,3.0,46.0
4.219,-70.14,-7.38,-7.38,-8,5,14.78,3.9,58.0
4.296,-42.72,64.34,64.34,-48,5,14.744,13.6,200.0
4.385,-35.86,90.18,90.18,-50,5,14.716,17.6,258.0
4.477,-39.73,56.43,56.43,49,5,14.624,46.7,682.0
4.565,-86.48,-40.96,-40.96,0,5,14.78,3.7,56.0
4.642,-97.56,-83.67,-83.67,0,5,14.78,4.2,62.0
4.718,-98.26,-85.25,-85.25,0,5,14.78,4.7,68.0
4.809,-89.65,-42.54,-42.54,0,5,14.78,3.8,56.0
4.884,-50.98,48.16,48.16,-46,5,14.76,9.2,134.0
4.975,-41.84,88.42,88.42,-49,5,14.748,13.7,204.0
5.07,-40.43,68.2,68.2,49,5,14.62,44.6,652.0
5.144,-68.73,-1.76,-1.76,44,5,14.704,22.5,330.0
5.226,-95.8,-71.54,-71.54,0,5,14.772,2.8,42.0
5.297,-97.38,-87.36,-87.36,0,5,14.78,3.4,50.0
5.407,-90.88,-53.09,-53.09,0,5,14.776,5.4,78.0
5.508,-46.41,53.79,53.79,-47,5,14.752,12.2,180.0
5.611,-36.56,87.54,87.54,50,5,14.624,49.0,714.0
5.681,-37.27,63.1,63.1,50,5,14.6,51.6,754.0
5.766,-74.0,-18.81,-18.81,39,5,14.74,16.0,236.0
5.846,-93.87,-78.4,-78.4,0,5,14.756,8.0,118.0
5.926,-95.1,-86.66,-86.66,0,5,14.78,3.3,50.0
5.996,-90.35,-56.07,-56.07,0,5,14.772,5.1,46.0
6.078,-58.71,19.16,19.16,-34,5,14.776,4.2,62.0
6.15,-41.66,76.11,76.11,-48,5,14.748,13.0,194.0
6.235,-36.39,87.19,87.19,50,5,14.592,53.7,784.0
6.307,-41.13,53.44,53.44,49,5,14.632,44.2,646.0
6.399,-86.66,-41.66,-41.66,0,5,14.78,3.1,46.0
6.475,-97.21,-83.32,-83.32,0,5,14.78,3.3,50.0
6.586,-97.56,-81.91,-81.91,0,5,14.776,5.4,78.0
6.661,-73.12,-4.57,-4.57,-1,5,14.776,3.1,46.0
6.731,-47.46,62.23,62.23,-47,5,14.744,14.2,212.0
6.837,-40.43,87.01,87.01,49,5,14.62,47.7,698.0
6.915,-44.12,56.07,56.07,48,5,14.636,41.9,612.0
7.01,-81.56,-23.03,-23.03,0,5,14.776,4.1,58.0
7.088,-98.97,-82.44,-82.44,0,5,14.78,3.0,46.0
7.163,-98.26,-78.93,-78.93,0,5,14.776,3.5,52.0
7.244,-84.55,-28.83,-28.83,0,5,14.772,2.5,36.0
7.322,-50.98,46.41,46.41,-46,5,14.76,8.8,132.0
7.439,-40.08,85.43,85.43,49,5,14.772,11.1,164.0
7.526,-45.7,45.7,45.7,48,5,14.636,40.6,594.0
7.602,-84.38,-33.75,-33.75,0,5,14.78,2.6,40.0
7.675,-96.5,-78.22,-78.22,0,5,14.78,3.2,46.0
7.802,-95.62,-73.65,-73.65,0,5,14.78,4.6,68.0
7.94,-46.58,58.18,58.18,-47,5,14.756,10.4,154.0
8.02,-39.73,84.55,84.55,-49,5,14.736,16.4,242.0
8.153,-41.13,59.41,59.41,49,5,14.636,44.8,656.0
8.254,-95.27,-67.85,-67.85,0,5,14.788,2.3,32.0
8.328,-97.91,-82.97,-82.97,0,5,14.768,3.1,46.0
8.433,-88.24,-38.85,-38.85,0,5,14.78,3.3,50.0
