t,pend,servo,mode,pwm,v
0.052,0.0,0.0,5,35,14.74
0.161,-4.92,-5.27,5,38,14.72
0.252,-8.26,-14.59,5,-30,14.73
0.322,0.53,-16.52,5,-28,14.77
0.426,11.43,-16.35,5,-29,14.76
0.496,7.73,-21.97,5,36,14.74
0.571,-6.5,-32.34,5,35,14.74
0.652,-12.13,-38.32,5,-14,14.72
0.744,4.04,-33.22,5,-17,14.77
0.827,16.0,-28.3,5,-28,14.74
0.913,6.68,-32.52,5,35,14.74
0.996,-11.25,-40.43,5,34,14.74
1.078,-12.83,-40.25,5,-12,14.77
1.17,4.22,-30.41,5,-18,14.76
1.245,16.17,-22.5,5,-25,14.76
1.329,4.22,-26.19,5,36,14.74
1.421,-16.88,-35.33,5,35,14.73
1.493,-13.18,-32.87,5,-17,14.76
1.585,10.37,-20.04,5,-26,14.76
1.659,18.11,-15.29,5,37,14.73
1.741,1.05,-23.38,5,37,14.74
1.814,-18.28,-33.75,5,35,14.74
1.902,-16.88,-34.45,5,-16,14.76
1.996,13.71,-20.57,5,-26,14.76
2.09,19.86,-18.11,5,37,14.72
2.178,-6.86,-32.87,5,35,14.74
2.25,-21.97,-41.13,5,34,14.74
2.328,-12.66,-37.79,5,-13,14.76
2.43,19.16,-22.85,5,-23,14.76
2.518,20.57,-21.97,5,36,14.74
2.596,-7.03,-35.51,5,34,14.64
2.678,-23.03,-42.89,5,32,14.75
2.749,-11.07,-36.91,5,-14,14.76
2.827,14.59,-23.91,5,-22,14.76
2.907,23.03,-18.98,5,37,14.69
2.996,0.35,-29.36,5,35,14.74
3.084,-23.38,-40.43,5,34,14.75
3.171,-11.6,-35.16,5,-16,14.76
3.245,15.29,-21.97,5,-25,14.77
3.344,24.08,-17.58,5,-31,14.76
3.439,-10.02,-33.75,5,35,14.74
3.521,-25.14,-40.78,5,34,14.73
3.602,-10.55,-34.45,5,-16,14.76
3.675,17.58,-20.92,5,-26,14.77
3.752,24.61,-17.58,5,38,14.72
3.849,-2.29,-31.46,5,35,14.74
3.927,-24.61,-42.89,5,32,14.75
4.033,-6.15,-34.45,5,-14,14.6
4.116,23.03,-20.04,5,-26,14.76
4.217,22.85,-19.69,5,37,14.73
4.298,-15.64,-38.85,5,34,14.74
4.396,-24.61,-42.89,5,-11,14.76
4.479,4.39,-28.48,5,-20,14.76
4.559,25.49,-18.11,5,-27,14.76
4.641,14.24,-22.85,5,36,14.74
4.71,-13.89,-37.09,5,34,14.75
4.787,-26.37,-43.07,5,-23,14.75
4.874,-5.8,-33.22,5,-16,14.76
4.954,22.32,-19.34,5,-27,14.66
5.028,24.26,-18.11,5,38,14.72
5.1,-0.88,-30.59,5,35,14.74
5.183,-25.49,-42.89,5,32,14.74
5.258,-18.46,-40.08,5,-12,14.72
5.336,11.78,-25.31,5,-22,14.76
5.407,27.07,-18.46,5,-27,14.76
5.489,16.0,-23.03,5,36,14.72
5.593,-21.97,-41.48,5,33,14.74
5.668,-23.38,-42.01,5,-11,14.76
5.744,2.29,-29.71,5,-20,14.76
5.813,25.14,-18.63,5,-27,14.76
5.885,22.5,-19.34,5,37,14.73
5.985,-12.66,-36.74,5,33,14.73
6.081,-26.54,-43.24,5,-11,14.76
6.184,9.32,-26.19,5,-22,14.76
6.271,27.6,-17.93,5,-28,14.76
6.35,13.54,-24.26,5,36,14.73
6.422,-18.63,-40.6,5,33,14.75
6.506,-25.14,-43.59,5,-10,14.76
6.599,0.7,-31.11,5,-18,14.76
6.695,27.42,-17.93,5,-28,14.76
6.773,10.2,-25.66,5,36,14.74
6.862,-22.32,-42.01,5,33,14.75
6.946,-22.5,-42.01,5,-11,14.76
7.017,3.69,-29.18,5,-20,14.76
7.099,25.14,-18.98,5,-27,14.77
7.189,19.34,-20.74,5,37,14.73
7.289,-23.38,-41.66,5,33,14.75
7.389,-19.86,-39.9,5,-13,14.76
7.459,10.55,-24.61,5,-23,14.76
7.541,27.42,-16.52,5,-29,14.76
7.611,14.24,-22.5,5,36,14.73
7.705,-19.16,-39.73,5,33,14.74
7.801,-23.91,-42.36,5,-11,14.76
7.879,6.33,-28.12,5,-20,14.76
7.972,27.95,-18.11,5,-27,14.76
8.054,9.84,-26.54,5,36,14.74
8.15,-24.08,-43.42,5,33,14.76
8.221,-22.32,-42.89,5,-10,14.77
8.296,3.69,-30.23,5,-18,14.76
8.371,26.54,-19.51,5,-27,14.76
8.471,12.48,-25.49,5,36,14.74
8.557,-21.27,-42.19,5,32,14.75
8.635,-24.79,-43.59,5,-10,14.76
8.742,7.73,-27.77,5,-18,14.76
8.851,25.66,-18.81,5,37,14.72
8.932,1.05,-30.41,5,35,14.74
9.008,-25.49,-43.24,5,32,14.76
9.086,-20.21,-40.96,5,-12,14.76
9.194,19.69,-21.62,5,-25,14.76
9.278,24.96,-18.98,5,37,14.73
9.367,-1.93,-32.17,5,35,14.73
9.454,-27.25,-44.3,5,33,14.75
9.54,-14.77,-38.67,5,-12,14.77
9.612,17.93,-22.32,5,-25,14.76
9.702,25.49,-18.46,5,37,14.73
9.782,-0.7,-31.46,5,35,14.74
9.881,-26.02,-43.77,5,33,14.75
9.955,-13.18,-37.97,5,-14,14.76
10.033,17.05,-22.85,5,-22,14.76
10.108,27.07,-18.11,5,37,14.73
10.188,5.1,-28.48,5,35,14.74
10.261,-22.15,-42.19,5,32,14.75
10.337,-25.31,-43.77,5,-10,14.76
10.416,-0.88,-31.99,5,-18,14.76
10.497,26.19,-18.98,5,-27,14.76
10.582,19.86,-21.27,5,36,14.73
10.658,-11.6,-36.91,5,34,14.75
10.749,-26.89,-44.12,5,-10,14.73
10.838,-0.88,-31.64,5,-18,14.77
10.916,24.43,-19.69,5,-27,14.76
10.994,21.45,-20.57,5,37,14.69
11.067,-5.8,-33.93,5,35,14.74
11.162,-27.42,-44.12,5,33,14.74
11.234,-11.95,-37.09,5,-14,14.72
11.32,16.17,-23.2,5,-24,14.76
11.4,26.37,-18.46,5,37,14.73
11.471,3.16,-29.53,5,35,14.74
11.545,-23.38,-42.72,5,32,14.75
11.62,-23.91,-43.07,5,-11,14.76
11.702,2.64,-30.41,5,-18,14.76
11.771,25.49,-19.69,5,-27,14.76
11.862,19.51,-22.15,5,36,14.74
11.943,-14.77,-39.55,5,33,14.74
12.041,-24.61,-44.3,5,-10,14.76
