t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.033,1.76,5.8,5.8,54,5,14.456,58.7,848.0
0.121,-15.29,-11.95,-11.95,54,5,14.484,53.1,770.0
0.193,-37.27,-24.79,-24.79,50,5,14.524,47.5,692.0
0.289,-54.14,-8.61,-8.61,-45,5,14.676,8.9,132.0
0.38,-50.62,33.22,33.22,-46,5,14.672,10.1,148.0
0.458,-53.44,49.4,49.4,-45,5,14.664,10.0,148.0
0.537,-66.8,28.65,28.65,42,5,14.536,33.1,482.0
0.611,-95.98,-18.46,-18.46,33,5,14.68,0.7,10.0
0.687,-105.82,-34.45,-34.45,31,5,14.692,7.1,72.0
0.765,-98.26,-11.25,-11.25,-32,5,14.7,5.3,78.0
0.843,-76.64,35.16,35.16,-38,5,14.688,7.3,108.0
0.933,-69.96,48.87,48.87,41,5,14.632,21.4,314.0
1.012,-80.68,18.11,18.11,37,5,14.664,12.6,184.0
1.113,-101.07,-33.22,-33.22,32,5,14.696,6.9,102.0
1.188,-97.03,-30.41,-30.41,-33,5,14.7,5.8,86.0
1.27,-75.59,7.56,7.56,-39,5,14.7,5.7,86.0
1.357,-52.56,47.64,47.64,-46,5,14.68,9.4,138.0
1.43,-47.64,44.3,44.3,47,5,14.548,39.0,566.0
1.506,-63.46,1.41,1.41,44,5,14.604,25.5,374.0
1.584,-81.39,-42.36,-42.36,37,5,14.664,12.9,190.0
1.656,-83.5,-46.05,-46.05,-37,5,14.64,-12.9,186.0
1.737,-70.66,-9.14,-9.14,-40,5,14.696,4.0,58.0
1.813,-46.58,45.88,45.88,-47,5,14.652,14.8,216.0
1.893,-39.38,62.75,62.75,49,5,14.692,9.2,134.0
1.966,-45.18,38.67,38.67,48,5,14.5,42.8,622.0
2.046,-78.05,-26.02,-26.02,38,5,14.652,15.1,222.0
2.129,-91.58,-59.06,-59.06,34,5,14.688,7.9,114.0
2.202,-92.28,-48.34,-48.34,-34,5,14.696,4.5,66.0
2.278,-72.25,8.44,8.44,-40,5,14.696,5.5,82.0
2.368,-52.91,65.92,65.92,-45,5,14.68,10.0,148.0
2.473,-52.73,61.88,61.88,46,5,14.572,34.0,494.0
2.558,-82.62,-4.04,-4.04,37,5,14.668,10.4,154.0
2.648,-104.41,-58.36,-58.36,31,5,14.7,7.5,112.0
2.726,-104.77,-56.78,-56.78,-31,5,14.696,4.2,62.0
2.797,-90.53,-14.24,-14.24,-34,5,14.7,6.7,98.0
2.879,-61.7,49.04,49.04,-43,5,14.7,8.0,118.0
2.954,-53.61,75.06,75.06,-45,5,14.68,10.0,148.0
3.079,-66.27,26.37,26.37,42,5,14.636,21.9,322.0
3.171,-100.19,-51.68,-51.68,32,5,14.58,-1.6,22.0
3.251,-102.66,-63.81,-63.81,-31,5,14.7,4.1,58.0
3.329,-93.34,-30.76,-30.76,-34,5,14.704,4.6,68.0
3.441,-60.65,39.38,39.38,-42,5,14.688,3.9,56.0
3.516,-47.46,77.34,77.34,-47,5,14.672,11.2,164.0
3.592,-48.69,56.25,56.25,47,5,14.564,37.6,548.0
3.674,-80.51,-14.94,-14.94,37,5,14.68,9.3,138.0
3.754,-97.56,-66.09,-66.09,33,5,14.688,7.6,112.0
3.826,-98.61,-65.57,-65.57,-32,5,14.7,3.7,56.0
3.921,-79.1,-4.22,-4.22,-38,5,14.7,4.7,68.0
3.995,-53.26,59.59,59.59,-45,5,14.68,9.5,140.0
4.069,-47.81,82.27,82.27,-47,5,14.672,13.3,196.0
4.147,-48.52,64.86,64.86,47,5,14.56,37.6,548.0
4.235,-79.98,-6.68,-6.68,38,5,14.66,12.2,180.0
4.324,-102.31,-67.5,-67.5,31,5,14.576,17.3,252.0
4.399,-103.89,-69.78,-69.78,-31,5,14.692,6.0,88.0
4.476,-93.69,-27.42,-27.42,-34,5,14.696,3.8,56.0
4.573,-56.95,62.4,62.4,-44,5,14.688,7.7,114.0
4.653,-51.33,85.78,85.78,-46,5,14.672,11.6,170.0
4.736,-53.44,61.7,61.7,45,5,14.568,34.9,508.0
4.82,-85.43,-10.37,-10.37,36,5,14.68,10.9,160.0
4.906,-105.12,-67.85,-67.85,31,5,14.688,8.2,122.0
4.988,-105.47,-68.56,-68.56,-30,5,14.696,5.7,86.0
5.074,-87.54,-11.78,-11.78,-35,5,14.696,5.1,76.0
5.147,-57.66,57.48,57.48,-44,5,14.688,9.6,140.0
5.229,-50.62,85.78,85.78,-46,5,14.676,13.7,200.0
5.31,-50.27,67.68,67.68,46,5,14.576,33.4,488.0
5.381,-74.36,7.21,7.21,39,5,14.656,14.7,216.0
5.459,-101.25,-57.48,-57.48,32,5,14.688,8.3,122.0
5.563,-104.94,-73.65,-73.65,-31,5,14.668,-16.2,236.0
5.658,-90.18,-18.81,-18.81,-34,5,14.696,4.2,62.0
5.733,-57.83,56.78,56.78,-44,5,14.68,7.3,108.0
5.807,-51.15,86.66,86.66,-46,5,14.66,10.7,158.0
5.887,-49.57,76.29,76.29,46,5,14.56,38.0,554.0
5.962,-67.5,22.68,22.68,42,5,14.6,25.0,368.0
6.048,-101.07,-51.85,-51.85,32,5,14.688,6.0,88.0
6.129,-106.35,-77.69,-77.69,-30,5,14.684,2.3,32.0
6.202,-103.18,-54.32,-54.32,-31,5,14.704,4.8,72.0
6.277,-75.59,14.24,14.24,-39,5,14.696,4.8,72.0
6.372,-53.61,81.21,81.21,-45,5,14.672,12.0,176.0
6.463,-50.1,82.97,82.97,46,5,14.564,36.5,530.0
