t,pend,servo,mode,pwm,v
0.094,-0.88,-0.35,5,-34,14.77
0.173,0.0,-0.35,5,-34,14.78
0.259,0.35,-0.35,5,-34,14.76
0.338,-0.35,-0.88,5,28,14.73
0.421,-2.29,-2.64,5,28,14.76
0.493,-2.64,-4.04,5,29,14.76
0.576,-0.18,-4.39,5,-26,14.76
0.652,2.81,-4.04,5,-26,14.77
0.726,2.99,-4.39,5,-34,14.77
0.798,0.88,-4.75,5,34,14.76
0.893,-2.11,-5.1,5,35,14.74
0.988,-3.34,-5.27,5,35,14.75
1.077,-2.11,-5.98,5,-26,14.77
1.148,2.11,-4.75,5,-26,14.77
1.226,3.87,-4.22,5,-34,14.76
1.309,1.41,-5.1,5,28,14.76
1.41,-2.29,-5.62,5,35,14.77
1.487,-3.52,-5.62,5,35,14.74
1.567,-2.99,-6.15,5,-26,14.71
1.667,1.23,-4.92,5,-26,14.76
1.742,3.69,-4.04,5,28,14.76
1.83,0.53,-5.27,5,28,14.77
1.911,-2.64,-5.8,5,28,14.76
2.014,-3.52,-5.8,5,28,14.74
2.089,-1.23,-5.62,5,-26,14.77
2.162,2.64,-4.39,5,-26,14.76
2.251,2.99,-4.22,5,28,14.76
2.332,-0.18,-5.27,5,28,14.77
2.425,-2.46,-5.45,5,35,14.75
2.511,-3.34,-5.8,5,35,14.74
2.59,-1.58,-6.15,5,-26,14.68
2.668,2.99,-4.75,5,-26,14.76
2.742,3.87,-4.57,5,-34,14.76
2.818,1.05,-5.62,5,28,14.76
2.888,-2.11,-6.15,5,28,14.76
2.96,-3.34,-5.98,5,28,14.74
3.042,-2.99,-6.15,5,-26,14.76
3.136,0.7,-5.1,5,-26,14.77
3.218,3.52,-4.04,5,-34,14.77
3.287,1.58,-4.57,5,28,14.76
3.363,-1.41,-5.62,5,28,14.76
3.444,-3.16,-5.62,5,35,14.74
3.521,-3.34,-6.15,5,35,14.75
3.593,-1.05,-6.5,5,-25,14.77
3.664,2.99,-5.27,5,-26,14.78
3.757,3.69,-5.1,5,28,14.77
3.834,0.18,-6.33,5,28,14.76
3.904,-2.46,-6.5,5,28,14.75
3.99,-3.52,-6.33,5,35,14.74
4.085,-1.93,-6.33,5,-26,14.76
4.168,2.99,-4.57,5,-26,14.77
4.267,2.81,-4.57,5,28,14.77
4.372,-1.58,-5.8,5,28,14.76
4.464,-3.34,-5.62,5,28,14.74
4.539,-2.64,-5.8,5,-33,14.76
4.635,1.76,-4.39,5,-26,14.72
4.708,3.16,-4.04,5,-34,14.76
4.799,1.05,-4.75,5,28,14.74
4.873,-1.76,-5.45,5,28,14.76
4.972,-2.99,-5.45,5,35,14.74
5.054,-2.99,-6.33,5,-33,14.71
5.14,1.41,-5.45,5,-26,14.77
5.217,3.87,-4.75,5,-26,14.76
5.3,2.11,-5.45,5,28,14.77
5.402,-2.11,-6.15,5,35,14.75
5.491,-3.34,-5.98,5,35,14.75
5.592,-1.93,-6.33,5,-26,14.76
5.67,2.64,-4.75,5,-26,14.76
5.747,3.34,-4.57,5,28,14.76
5.831,0.0,-5.62,5,28,14.76
5.911,-2.64,-5.98,5,28,14.76
6.006,-3.34,-6.15,5,35,14.75
6.085,-1.58,-6.33,5,-26,14.76
6.176,3.34,-4.75,5,-26,14.76
6.265,2.99,-5.1,5,28,14.76
6.342,-0.53,-5.98,5,28,14.76
6.422,-2.81,-6.15,5,28,14.75
6.521,-3.34,-6.33,5,35,14.74
6.599,-0.7,-5.98,5,-26,14.73
6.671,2.99,-4.75,5,-26,14.77
6.752,3.16,-4.75,5,28,14.76
6.835,-0.18,-5.8,5,28,14.76
6.919,-2.46,-5.8,5,28,14.76
7.005,-3.34,-5.98,5,35,14.75
7.078,-1.93,-6.5,5,-26,14.76
7.18,3.16,-4.75,5,-26,14.76
7.256,3.34,-4.92,5,28,14.77
7.333,0.18,-5.98,5,28,14.77
7.418,-2.46,-6.15,5,28,14.75
7.504,-3.34,-6.15,5,35,14.74
7.578,-1.58,-6.33,5,-26,14.76
7.664,2.64,-4.75,5,-26,14.76
7.74,3.34,-4.57,5,-34,14.77
7.825,0.35,-5.45,5,28,14.77
7.903,-2.64,-5.98,5,28,14.76
7.977,-3.34,-5.98,5,35,14.75
8.064,-2.29,-6.5,5,-26,14.77
8.148,1.93,-5.27,5,-26,14.77
8.233,3.52,-4.75,5,-34,14.77
8.308,0.88,-5.62,5,28,14.76
8.383,-2.11,-6.15,5,28,14.77
8.463,-3.16,-5.98,5,35,14.74
8.557,-2.81,-6.68,5,-25,14.76
8.643,1.76,-5.45,5,-26,14.77
8.739,3.87,-4.92,5,-34,14.67
8.84,0.7,-5.98,5,28,14.76
8.913,-2.64,-6.33,5,28,14.76
9.016,-3.52,-6.33,5,35,14.75
9.095,-1.05,-6.15,5,-26,14.76
9.176,2.99,-4.57,5,-26,14.77
9.256,3.34,-4.57,5,-34,14.77
9.33,0.0,-5.8,5,28,14.76
9.412,-2.81,-6.15,5,35,14.75
9.521,-3.16,-6.33,5,-26,14.74
9.613,0.35,-5.45,5,-26,14.76
9.687,3.34,-4.39,5,-34,14.77
9.772,2.29,-4.92,5,28,14.76
9.848,-1.23,-5.8,5,28,14.76
9.933,-2.99,-5.8,5,35,14.76
10.036,-2.99,-6.68,5,-25,14.75
10.113,0.53,-5.98,5,-26,14.77
10.222,3.87,-4.92,5,-34,14.76
10.308,1.05,-5.8,5,28,14.76
10.378,-1.93,-6.33,5,28,14.77
10.447,-2.99,-5.98,5,35,14.76
10.526,-3.34,-6.15,5,35,14.75
10.611,-0.7,-5.98,5,-26,14.77
