t_s,alpha_deg,theta_deg,pwm
0.0,-54.492,-37.266,0
0.0735,-24.961,-42.012,0
0.1414,30.41,-58.184,0
0.2201,47.988,-53.437,0
0.2939,33.926,-40.43,0
0.3617,-19.16,-3.516,0
0.4512,-42.891,13.711,0
0.5115,-41.309,20.215,0
0.5718,-7.031,15.293,0
0.6526,30.059,6.68,0
0.7154,45.0,9.316,0
0.7867,31.641,19.863,0
0.8446,-1.934,40.078,0
0.9055,-34.277,59.062,0
0.9738,-38.672,64.16,0
1.0401,-20.391,60.117,0
1.0989,25.312,43.77,0
1.1847,39.551,41.484,0
1.2469,30.762,47.285,0
1.3128,1.758,61.699,0
1.3716,-33.047,78.047,0
1.4562,-27.949,75.586,0
1.5444,4.746,60.117,0
1.6042,28.828,49.219,0
1.6645,33.398,47.109,0
1.7263,17.227,53.086,0
1.7937,-17.754,67.852,0
1.863,-30.762,71.016,0
1.932,-15.469,62.051,0
2.0158,12.48,46.758,0
2.0736,27.949,38.848,0
2.1345,22.5,39.727,0
2.2073,-0.352,48.691,0
2.2671,-25.488,57.656,0
2.3539,-23.906,55.02,0
2.4247,0.527,41.66,0
2.4855,21.094,31.113,0
2.5576,21.797,30.234,0
2.6401,1.23,38.848,0
2.7015,-18.809,47.285,0
2.7614,-22.852,48.164,0
2.8186,-11.953,42.539,0
2.8796,8.789,32.344,0
2.9414,20.742,27.07,0
3.0206,11.426,31.816,0
3.0874,-5.449,40.078,0
3.1418,-18.457,46.055,0
3.2067,-16.875,45.176,0
3.2675,-1.582,38.32,0
3.3284,13.359,31.816,0
3.3898,17.227,30.937,0
3.4457,5.801,37.266,0
3.5195,-8.613,45.0,0
3.5833,-15.293,48.516,0
3.6611,-7.383,45.0,0
3.7256,10.547,37.266,0
3.8167,12.832,37.441,0
3.8861,1.758,43.594,0
3.9479,-8.965,49.043,0
4.0107,-12.129,50.625,0
4.0696,-5.273,47.285,0
4.1319,5.273,42.363,0
4.1908,11.074,40.254,0
4.2513,7.207,42.715,0
4.3171,-1.582,47.109,0
4.376,-8.613,50.273,0
4.4767,-3.691,47.461,0
4.5346,4.043,43.594,0
4.5984,7.91,41.836,0
4.6716,0.0,45.879,0
4.7704,-5.625,48.34,0
4.8342,-5.625,47.812,0
4.8971,-1.055,45.176,0
4.9559,3.691,42.891,0
5.0473,3.691,43.242,0
5.1176,-0.176,45.176,0
5.1854,-3.516,46.406,0
5.2402,-2.637,45.703,0
5.3151,0.0,44.297,0
5.3769,2.285,43.418,0
5.4567,1.406,44.297,0
5.5385,-0.176,45.176,0
5.5968,-1.055,45.352,0
5.6547,-1.055,45.176,0
5.7151,-0.527,45.0,0
