t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,80.684,1.143,-53
0.0824,5,73.652,9.58,-53
0.1645,5,71.191,18.018,-53
0.2274,5,76.641,25.225,53
0.3006,5,99.668,19.424,53
0.3795,5,114.609,10.635,53
0.4692,5,91.582,11.338,-53
0.567,5,53.789,24.521,-53
0.6398,5,41.484,29.268,-52
0.7225,5,61.523,24.873,53
0.7943,5,114.961,-0.264,53
0.881,5,139.219,-14.326,53
0.9739,5,98.965,-15.029,-53
1.0715,5,30.234,5.361,-53
1.1808,5,16.699,7.295,-53
1.2437,5,37.617,4.307,53
1.3115,5,98.965,-22.939,53
1.3813,5,151.875,-43.154,51
1.4641,5,158.906,-49.307,50
1.5296,4,120.059,-49.482,23
1.6177,4,46.055,-26.982,24
1.6972,4,13.184,-26.455,24
1.7868,4,23.555,-38.232,24
1.8702,4,81.387,-66.885,63
1.9552,0,139.57,-95.537,0
