attempt,t,pend_deg,mode,pwm,v_bus
2,9.946,-64.69,5,-55,0.000
2,10.183,63.10,5,59,0.000
2,10.411,-38.50,5,-55,0.000
2,10.644,22.68,5,-59,0.000
2,10.872,2.46,5,-40,0.000
2,11.098,-12.13,5,-58,0.000
2,11.320,26.89,5,59,0.000
2,11.549,-32.70,5,-57,0.000
2,11.772,52.91,5,59,0.000
2,11.999,-59.59,5,-55,0.000
2,12.231,73.12,5,59,0.000
2,12.566,-36.39,5,-56,0.000
2,12.807,56.60,5,59,0.000
2,13.038,-44.47,5,-55,0.000
2,13.271,58.36,5,59,0.000
2,13.513,-50.45,5,-56,0.000
2,13.743,64.69,5,59,0.000
2,13.974,-61.52,5,-55,0.000
2,14.196,68.73,5,59,0.000
2,14.424,-48.69,5,-55,0.000
2,14.670,55.02,5,44,0.000
2,14.923,-39.73,5,-56,0.000
2,15.149,39.90,5,0,0.000
2,15.401,-33.75,5,-57,0.000
2,15.642,42.72,5,1,0.000
2,15.872,-19.16,5,-54,0.000
2,16.134,37.27,5,-29,0.000
2,16.355,0.53,5,-11,0.000
2,16.601,-2.46,5,-58,0.000
2,16.851,17.40,5,12,0.000
2,17.119,4.39,5,-58,0.000
2,17.349,3.16,5,2,0.000
2,17.606,1.93,5,-59,0.000
2,17.831,16.35,5,55,0.000
2,18.056,-32.87,5,-56,0.000
2,18.278,61.35,5,59,0.000
2,18.508,-57.13,5,-54,0.000
2,18.732,69.08,5,59,0.000
2,19.008,-55.20,5,-55,0.000
2,19.269,59.77,5,59,0.000
2,19.516,-52.56,5,-55,0.000
2,19.759,63.81,5,59,0.000
2,20.019,-54.32,5,-55,0.000
2,20.253,70.31,5,59,0.000
2,20.503,-59.06,5,-54,0.000
2,20.745,67.85,5,59,0.000
2,20.989,-56.07,5,-55,0.000
2,21.217,64.86,5,59,0.000
2,21.449,-57.48,5,-55,0.000
2,21.675,57.83,5,34,0.000
2,21.921,-47.99,5,-56,0.000
2,22.156,38.85,5,-1,0.000
2,22.410,-36.74,5,-56,0.000
2,22.686,58.53,5,59,0.000
2,22.912,-37.97,5,-56,0.000
2,23.149,42.19,5,-1,0.000
2,23.393,-35.33,5,-57,0.000
2,23.629,25.14,5,-59,0.000
2,23.854,-3.69,5,-8,0.000
2,24.098,-2.81,5,-58,0.000
2,24.319,42.01,5,59,0.000
2,24.544,-43.77,5,-55,0.000
2,24.777,62.05,5,59,0.000
2,25.016,-50.80,5,-55,0.000
2,25.247,63.98,5,59,0.000
2,25.479,-60.29,5,-55,0.000
2,25.724,69.78,5,59,0.000
2,25.973,-61.52,5,-55,0.000
2,26.218,70.84,5,59,0.000
2,26.488,-57.30,5,-54,0.000
2,26.731,66.62,5,59,0.000
2,26.954,-54.49,5,-55,0.000
2,27.194,62.23,5,59,0.000
2,27.431,-52.21,5,-56,0.000
2,27.682,63.28,5,59,0.000
2,27.946,-50.80,5,-55,0.000
2,28.193,64.34,5,59,0.000
2,28.422,-43.95,5,-55,0.000
2,28.656,37.97,5,-14,0.000
2,28.889,-25.14,5,-57,0.000
2,29.149,35.68,5,-24,0.000
2,29.390,-34.63,5,-57,0.000
2,29.641,40.25,5,-13,0.000
2,29.882,-18.63,5,-57,0.000
3,0.031,13.89,5,26,0.000
3,0.256,-45.70,5,-24,0.000
3,0.486,69.26,5,-59,0.000
3,0.709,-68.03,5,1,0.000
3,0.952,19.34,5,-52,0.000
3,1.223,4.57,5,59,0.000
3,1.445,-55.72,5,-51,0.000
3,1.691,99.14,5,53,0.000
3,1.935,-63.98,5,-56,0.000
3,2.176,18.46,5,57,0.000
3,2.401,-41.31,5,-59,0.000
3,2.666,36.21,5,59,0.000
3,2.916,-14.24,5,-55,0.000
3,3.138,61.17,5,59,0.000
3,3.382,-69.78,5,-57,0.000
3,3.633,55.90,5,56,0.000
3,3.885,-73.48,5,-56,0.000
3,4.112,84.73,5,59,0.000
3,4.382,-52.73,5,-53,0.000
3,4.609,48.69,5,49,0.000
3,4.838,-27.60,5,-57,0.000
3,5.088,41.13,5,59,0.000
3,5.312,-55.37,5,-57,0.000
3,5.539,55.90,5,32,0.000
3,5.788,-47.28,5,-56,0.000
3,6.009,24.43,5,-59,0.000
3,6.236,47.46,5,59,0.000
3,6.472,-44.12,5,-55,0.000
3,6.715,55.37,5,59,0.000
3,6.939,-43.42,5,-56,0.000
3,7.179,49.75,5,59,0.000
3,7.404,-50.98,5,-56,0.000
3,7.647,64.51,5,59,0.000
3,7.875,-64.69,5,-55,0.000
3,8.103,70.84,5,59,0.000
3,8.358,-55.37,5,-55,0.000
3,8.580,53.61,5,52,0.000
3,8.804,-23.38,5,-57,0.000
3,9.046,34.28,5,-22,0.000
3,9.286,-30.41,5,-57,0.000
3,9.536,37.62,5,-15,0.000
3,9.766,-10.37,5,-27,0.000
3,10.017,17.40,5,-59,0.000
3,10.248,22.85,5,35,0.000
3,10.496,-18.11,5,-57,0.000
3,10.734,40.25,5,59,0.000
3,10.986,-13.36,5,-57,0.000
3,11.233,18.63,5,59,0.000
3,11.459,-33.93,5,-57,0.000
3,11.700,47.11,5,59,0.000
3,11.962,-32.52,5,-56,0.000
3,12.226,48.52,5,59,0.000
3,12.480,-26.19,5,-56,0.000
3,12.750,36.03,5,59,0.000
3,12.996,-6.33,5,-58,0.000
3,13.222,35.33,5,59,0.000
3,13.496,-2.99,5,-58,0.000
3,13.725,30.59,5,59,0.000
3,13.951,-39.90,5,-56,0.000
3,14.210,49.57,5,59,0.000
3,14.432,-50.27,5,-55,0.000
3,14.665,67.32,5,59,0.000
3,14.888,-57.66,5,-55,0.000
3,15.120,65.92,5,59,0.000
3,15.365,-57.66,5,-55,0.000
3,15.620,67.32,5,59,0.000
3,15.865,-58.01,5,-55,0.000
3,16.106,66.97,5,59,0.000
3,16.345,-52.91,5,-55,0.000
3,16.573,50.10,5,30,0.000
3,16.800,-32.17,5,-57,0.000
3,17.020,13.89,5,-59,0.000
3,17.249,23.03,5,55,0.000
3,17.489,-17.75,5,-57,0.000
3,17.721,39.90,5,59,0.000
3,17.966,-34.28,5,-56,0.000
3,18.194,52.56,5,59,0.000
3,18.423,-53.09,5,-55,0.000
3,18.656,66.97,5,59,0.000
3,18.889,-58.71,5,-55,0.000
3,19.112,67.85,5,59,0.000
3,19.347,-52.73,5,-55,0.000
3,19.588,61.00,5,59,0.000
3,19.835,-51.33,5,-55,0.000
3,20.062,49.40,5,28,0.000
3,20.290,-26.54,5,-57,0.000
3,20.542,8.96,5,-59,0.000
3,20.784,0.00,5,-15,0.000
3,21.070,48.69,5,20,0.000
3,21.304,-32.17,5,-57,0.000
3,21.575,56.43,5,48,0.000
3,21.806,-34.45,5,-56,0.000
3,22.048,41.48,5,-2,0.000
3,22.286,-22.15,5,-57,0.000
3,22.510,7.91,5,-59,0.000
3,22.744,19.16,5,36,0.000
3,22.964,-33.57,5,-56,0.000
3,23.206,48.87,5,59,0.000
3,23.432,-49.57,5,-55,0.000
3,23.658,65.74,5,59,0.000
3,23.882,-58.36,5,-55,0.000
3,24.125,68.56,5,59,0.000
3,24.353,-55.20,5,-55,0.000
3,24.580,57.48,5,47,0.000
3,24.833,-46.58,5,-56,0.000
3,25.176,61.35,5,59,0.000
3,25.406,-56.25,5,-55,0.000
3,25.640,69.08,5,59,0.000
3,25.870,-57.13,5,-55,0.000
3,26.099,60.65,5,59,0.000
3,26.340,-53.26,5,-55,0.000
3,26.560,48.34,5,21,0.000
3,26.789,-26.37,5,-57,0.000
3,27.015,10.02,5,-59,0.000
3,27.259,5.27,5,-8,0.000
3,27.490,-19.51,5,-57,0.000
3,27.724,45.53,5,59,0.000
3,27.985,-39.90,5,-56,0.000
3,28.226,38.50,5,59,0.000
3,28.464,-38.85,5,-56,0.000
3,28.690,56.43,5,59,0.000
3,28.914,-54.14,5,-55,0.000
3,29.142,68.73,5,59,0.000
3,29.364,-58.01,5,-55,0.000
3,29.601,65.22,5,59,0.000
3,29.829,-49.04,5,-55,0.000
4,0.076,4.39,5,59,0.000
4,0.307,-12.13,5,-58,0.000
4,0.559,43.42,5,55,0.000
4,0.782,-82.79,5,-58,0.000
4,1.004,78.22,5,56,0.000
4,1.238,-43.95,5,-56,0.000
4,1.460,-24.26,5,-53,0.000
4,1.692,95.80,5,46,0.000
4,1.937,-69.96,5,-56,0.000
4,2.159,20.74,5,57,0.000
4,2.402,-32.52,5,-59,0.000
4,2.658,18.81,5,59,0.000
4,2.888,-14.41,5,-55,0.000
4,3.130,50.62,5,59,0.000
4,3.383,-66.97,5,-57,0.000
4,3.658,39.02,5,58,0.000
4,3.906,-64.34,5,-55,0.000
4,4.165,84.55,5,59,0.000
4,4.386,-56.43,5,-53,0.000
4,4.627,60.65,5,59,0.000
4,4.862,-44.65,5,-56,0.000
4,5.107,47.46,5,59,0.000
4,5.337,-59.59,5,-57,0.000
4,5.588,72.25,5,59,0.000
4,5.830,-68.38,5,-54,0.000
4,6.097,78.57,5,59,0.000
4,6.330,-48.69,5,-55,0.000
4,6.568,49.22,5,59,0.000
4,6.841,-48.16,5,-56,0.000
4,7.068,55.20,5,59,0.000
4,7.291,-50.80,5,-56,0.000
4,7.529,56.60,5,38,0.000
4,7.848,-66.44,5,-55,0.000
4,8.082,73.83,5,59,0.000
4,8.333,-52.56,5,-55,0.000
4,8.573,60.29,5,59,0.000
4,8.810,-36.21,5,-56,0.000
4,9.077,54.49,5,59,0.000
4,9.304,-49.92,5,-56,0.000
4,9.531,50.10,5,29,0.000
4,9.758,-34.45,5,-57,0.000
4,10.007,36.03,5,-47,0.000
4,10.282,-18.46,5,-57,0.000
4,10.538,40.60,5,-5,0.000
4,10.783,-22.50,5,-57,0.000
4,11.011,21.45,5,-59,0.000
4,11.234,3.34,5,6,0.000
4,11.460,-10.20,5,-58,0.000
4,11.695,34.80,5,59,0.000
4,11.935,-31.11,5,-56,0.000
