t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.043,-148.887,-36.738,322.559,2,5,15.06,3.7,56.0
0.085,-157.5,-19.687,339.609,0,5,15.06,3.8,56.0
0.11,-159.258,-6.152,353.145,0,5,15.06,2.9,42.0
0.14,-159.434,15.469,374.766,0,5,15.06,3.6,56.0
0.169,-160.137,32.871,392.168,0,5,15.06,3.2,50.0
0.204,-162.422,46.23,405.527,0,5,15.06,3.5,52.0
0.229,-166.465,55.898,415.195,0,5,15.06,3.2,50.0
0.266,-171.035,59.414,418.711,0,5,15.068,3.4,52.0
0.304,-177.363,55.02,414.316,0,5,15.06,3.5,52.0
0.337,-184.043,43.594,402.891,0,5,15.056,4.7,72.0
0.367,-190.547,31.113,390.41,0,5,15.06,3.2,50.0
0.4,-200.742,12.129,371.426,0,5,15.056,2.5,36.0
0.436,-209.883,-5.801,353.496,0,5,15.06,3.2,50.0
0.489,-212.695,-21.621,337.676,0,5,15.06,3.5,52.0
0.536,-202.148,-17.754,341.543,0,5,15.06,3.5,52.0
0.578,-190.02,-7.207,352.09,0,5,15.06,3.5,52.0
0.615,-174.551,8.086,367.383,0,5,15.06,3.3,50.0
0.647,-162.246,19.863,379.16,0,5,15.06,3.9,58.0
0.686,-152.578,26.543,385.84,0,5,15.06,3.4,52.0
0.715,-146.777,27.598,386.895,6,5,15.064,3.6,56.0
0.741,-142.734,25.137,384.434,15,5,15.06,3.7,56.0
0.786,-139.043,15.469,374.766,22,5,15.06,4.6,68.0
0.824,-137.637,2.988,362.285,26,5,15.056,4.5,68.0
0.869,-135.879,-10.195,349.102,10,5,15.052,5.5,82.0
0.893,-133.066,-18.809,340.488,35,5,15.036,10.9,164.0
0.92,-130.254,-22.148,337.148,35,5,15.036,10.7,154.0
0.967,-124.629,-23.73,335.566,-34,5,14.848,68.1,1010.0
1.0,-119.883,-20.918,338.379,-39,5,15.056,5.0,76.0
1.035,-113.906,-14.063,345.234,-43,5,15.048,6.9,104.0
1.069,-105.117,-2.285,357.012,68,5,15.044,8.8,132.0
1.099,-95.625,10.723,370.02,-49,5,15.024,13.7,206.0
1.124,-89.297,18.809,378.105,-51,5,15.012,18.2,272.0
1.172,-81.562,27.07,386.367,64,5,14.816,83.4,1236.0
1.202,-78.047,27.246,386.543,64,5,14.764,91.4,1350.0
1.229,-79.629,21.621,380.918,74,5,14.664,121.6,1782.0
1.254,-87.187,7.559,366.855,74,5,14.684,116.4,1708.0
1.294,-105.293,-20.039,339.258,71,5,14.72,105.3,1550.0
1.316,-115.137,-34.805,324.492,71,5,14.712,105.5,1554.0
1.343,-124.98,-48.34,310.957,56,5,14.84,67.7,1006.0
1.375,-133.066,-58.008,301.289,36,5,15.02,15.8,236.0
1.429,-145.898,-63.457,295.84,8,5,15.06,4.0,50.0
1.453,-150.469,-58.008,301.289,0,5,15.064,2.3,36.0
1.486,-153.457,-46.934,312.363,0,5,15.064,3.7,52.0
1.514,-153.633,-30.234,329.062,0,5,15.064,2.6,40.0
1.546,-147.129,1.23,360.527,-2,5,15.06,3.7,56.0
1.572,-141.504,25.488,384.785,5,5,15.06,3.4,52.0
