t,pend,servo,mode,pwm,v
12.118,-3.34,-6.5,5,35,14.75
12.201,-0.35,-7.03,5,-25,14.78
12.289,4.04,-6.15,5,-26,14.76
12.363,3.69,-6.5,5,28,14.76
12.445,-0.18,-7.73,5,29,14.76
12.529,-2.81,-7.73,5,29,14.74
12.632,-3.16,-7.73,5,35,14.74
12.716,0.7,-6.86,5,-25,14.74
12.802,3.87,-5.45,5,-33,14.76
12.881,2.46,-5.98,5,28,14.76
12.966,-1.41,-6.68,5,29,14.75
13.043,-3.16,-6.5,5,28,14.74
13.153,-2.46,-6.68,5,-25,14.62
13.249,2.29,-5.1,5,-26,14.76
13.341,3.52,-4.92,5,28,14.76
13.443,-0.35,-6.15,5,28,14.76
13.517,-2.64,-6.33,5,28,14.76
13.608,-3.16,-6.5,5,35,14.74
13.683,-0.7,-6.5,5,-26,14.76
13.768,2.99,-5.1,5,-26,14.76
13.851,3.16,-5.27,5,-33,14.76
13.941,-0.53,-6.15,5,28,14.76
14.013,-2.46,-6.15,5,35,14.74
14.084,-3.16,-6.5,5,35,14.74
14.156,-2.11,-7.03,5,-25,14.76
14.23,1.76,-5.8,5,-26,14.76
14.314,4.04,-5.27,5,-26,14.75
14.384,1.93,-5.98,5,28,14.76
14.461,-1.23,-6.86,5,29,14.76
14.546,-2.81,-6.5,5,28,14.74
14.618,-2.99,-6.86,5,35,14.74
14.696,-0.35,-6.5,5,-26,14.76
14.778,3.16,-5.1,5,-26,14.76
14.857,2.99,-5.45,5,28,14.75
14.932,0.0,-6.15,5,28,14.76
15.011,-2.11,-6.33,5,28,14.76
15.099,-3.16,-6.33,5,35,14.74
15.189,-1.41,-6.68,5,-25,14.76
15.271,3.16,-5.1,5,-26,14.76
15.347,3.52,-5.1,5,-33,14.76
15.426,0.7,-5.98,5,28,14.76
15.502,-2.11,-6.5,5,28,14.74
15.577,-2.99,-6.33,5,35,14.74
15.66,-2.46,-6.68,5,-25,14.76
15.747,2.29,-5.1,5,-26,14.76
15.828,3.52,-4.75,5,-34,14.76
15.936,-0.18,-5.98,5,28,14.76
16.02,-2.64,-6.15,5,28,14.74
16.092,-3.16,-6.5,5,35,14.74
16.161,-1.93,-7.03,5,-25,14.76
16.249,2.46,-5.62,5,-26,14.77
16.34,3.69,-5.45,5,28,14.76
16.417,0.88,-6.33,5,28,14.76
16.494,-2.11,-6.86,5,29,14.76
16.576,-3.34,-6.86,5,29,14.74
16.666,-1.58,-6.86,5,-25,14.76
16.742,2.29,-5.45,5,-26,14.76
16.826,3.52,-4.92,5,-34,14.76
16.938,-0.18,-6.15,5,28,14.76
17.014,-2.46,-6.15,5,28,14.75
17.084,-2.99,-6.33,5,35,14.74
