t,pend,servo,mode,pwm,v
0.071,-1.05,-0.88,5,34,14.76
0.146,-1.93,-2.46,5,18,14.75
0.23,-0.88,-3.69,5,-17,14.78
0.303,2.29,-3.16,5,-18,14.76
0.378,2.99,-3.16,5,-34,14.76
0.493,0.88,-3.87,5,19,14.76
0.588,-1.93,-3.69,5,19,14.75
0.671,-2.64,-3.69,5,-34,14.77
0.745,-0.53,-2.99,5,-18,14.77
0.819,1.93,-1.76,5,-18,14.76
0.897,2.11,-1.58,5,-34,14.76
0.984,-0.18,-2.29,5,34,14.77
1.067,-1.76,-2.46,5,18,14.77
1.147,-2.46,-2.64,5,34,14.75
1.229,-0.88,-2.81,5,-18,14.77
1.314,2.11,-1.93,5,-18,14.77
1.395,2.29,-2.11,5,-34,14.77
1.478,0.35,-2.99,5,18,14.75
1.563,-1.58,-3.34,5,19,14.76
1.66,-2.29,-3.52,5,19,14.71
1.733,0.0,-2.81,5,-18,14.77
1.824,2.29,-1.93,5,-34,14.77
1.911,1.41,-2.11,5,34,14.77
2.0,-1.05,-2.64,5,18,14.77
2.086,-2.29,-2.81,5,34,14.75
2.169,-2.29,-3.69,5,-17,14.78
2.255,0.88,-2.81,5,-18,14.77
2.341,2.81,-2.46,5,-34,14.76
2.415,1.58,-2.99,5,34,14.77
2.498,-0.53,-3.34,5,19,14.77
2.579,-2.11,-3.34,5,34,14.73
2.668,-2.64,-3.87,5,-34,14.76
2.742,0.35,-2.99,5,-18,14.77
2.821,2.64,-2.11,5,-34,14.77
2.892,2.11,-2.46,5,-34,14.76
2.982,0.0,-2.81,5,34,14.77
3.063,-1.93,-2.81,5,18,14.76
3.163,-2.64,-3.16,5,-34,14.76
3.237,0.0,-2.64,5,-18,14.76
3.319,2.29,-1.93,5,-34,14.77
3.408,1.93,-2.11,5,-34,14.76
3.482,-0.35,-2.81,5,18,14.76
3.561,-1.93,-2.99,5,34,14.75
3.637,-2.64,-3.52,5,34,14.74
3.712,-0.88,-3.34,5,-17,14.77
3.783,2.11,-2.46,5,-18,14.76
3.866,2.46,-2.46,5,-34,14.76
3.944,0.7,-2.99,5,18,14.77
4.029,-1.41,-3.16,5,18,14.76
4.108,-2.46,-3.16,5,34,14.72
4.185,-1.93,-3.34,5,-17,14.77
4.261,0.88,-2.29,5,-18,14.76
4.349,2.46,-1.93,5,-34,14.76
4.422,1.41,-2.29,5,18,14.77
4.504,-0.7,-2.81,5,18,14.76
4.583,-2.11,-2.81,5,34,14.75
4.665,-2.29,-3.34,5,-34,14.76
4.744,0.35,-2.64,5,-18,14.77
4.82,2.29,-1.93,5,-18,14.76
4.895,1.93,-2.29,5,18,14.77
4.988,-0.53,-2.99,5,18,14.77
5.062,-1.93,-2.99,5,34,14.76
5.136,-2.46,-3.52,5,34,14.75
5.206,-1.05,-3.52,5,-17,14.77
5.284,2.11,-2.46,5,-18,14.76
5.372,2.46,-2.46,5,-34,14.76
5.446,0.7,-2.81,5,18,14.78
5.519,-1.23,-2.99,5,18,14.76
5.6,-2.46,-2.81,5,18,14.76
5.696,-1.93,-3.16,5,-18,14.77
5.806,1.41,-1.93,5,-18,14.78
5.894,2.11,-1.93,5,-34,14.78
5.984,-0.53,-2.64,5,18,14.78
6.08,-2.11,-2.99,5,34,14.75
