t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.03,0.88,0.7,0.7,-74,5,14.768,85.0,1258.0
0.102,11.95,11.25,11.25,73,5,14.756,92.5,1366.0
0.177,35.33,27.95,27.95,-73,5,14.784,85.2,1258.0
0.255,62.75,34.8,34.8,51,5,14.912,45.5,678.0
0.337,71.89,9.67,9.67,47,5,14.94,38.5,576.0
0.441,58.89,-53.44,-53.44,53,5,14.884,55.5,826.0
0.512,53.61,-63.28,-63.28,-69,5,14.804,78.5,1164.0
0.598,66.62,-23.2,-23.2,-64,5,14.864,60.3,898.0
0.691,107.05,57.83,57.83,-50,5,15.012,17.1,256.0
0.763,112.5,71.19,71.19,31,5,15.048,5.7,86.0
0.844,106.35,43.42,43.42,32,5,15.048,6.1,92.0
0.939,64.34,-46.23,-46.23,-65,5,14.916,46.4,692.0
1.015,49.92,-81.21,-81.21,57,5,14.852,65.1,966.0
1.089,38.85,-77.52,-77.52,-72,5,14.792,77.9,1154.0
1.168,48.52,-24.43,-24.43,-70,5,14.824,73.3,1088.0
1.255,90.35,69.26,69.26,10,5,14.964,31.3,468.0
1.331,98.26,103.89,103.89,36,5,15.028,12.7,190.0
1.415,102.13,98.97,98.97,-52,5,14.996,21.9,328.0
1.499,96.15,39.9,39.9,37,5,15.036,9.7,148.0
1.583,56.6,-57.13,-57.13,52,5,14.876,56.7,842.0
1.687,48.87,-117.42,-117.42,-70,5,14.804,79.3,1174.0
1.766,42.36,-113.91,-113.91,88,4,14.508,165.4,2398.0
1.843,24.61,-68.38,-68.38,95,4,14.412,188.7,2720.0
1.915,9.84,16.52,16.52,99,4,14.356,202.5,2906.0
2.0,-30.59,69.78,69.78,94,4,14.456,177.2,2562.0
2.069,-88.94,90.7,90.7,65,4,14.788,83.5,1236.0
2.143,-103.71,77.34,77.34,0,4,15.056,3.7,56.0
2.216,-91.23,25.14,25.14,0,4,15.056,3.4,52.0
2.297,-90.18,-47.46,-47.46,0,4,15.06,3.3,50.0
2.37,-71.89,-77.52,-77.52,22,4,15.052,4.3,66.0
2.453,-45.35,-69.43,-69.43,-21,4,15.056,3.9,58.0
2.544,9.32,-3.69,-3.69,-69,4,14.856,62.7,930.0
2.626,68.73,69.43,69.43,-27,4,15.056,4.5,68.0
2.71,94.57,95.1,95.1,0,4,15.06,3.5,52.0
2.785,114.61,77.34,77.34,0,4,15.06,3.0,46.0
2.868,108.81,4.04,4.04,0,4,15.056,3.6,56.0
2.942,95.8,-69.43,-69.43,0,4,15.06,3.7,56.0
3.02,103.71,-101.6,-101.6,0,4,15.056,3.2,50.0
3.092,107.93,-92.81,-92.81,0,4,15.056,3.3,50.0
3.174,116.89,-38.85,-38.85,0,4,15.056,3.3,50.0
3.249,137.81,34.63,34.63,0,4,15.06,3.3,50.0
3.327,123.57,61.7,61.7,0,4,15.056,3.5,52.0
3.401,99.84,48.69,48.69,0,4,15.056,3.3,50.0
3.489,57.66,0.53,0.53,3,4,15.056,3.7,56.0
3.56,19.69,-42.19,-42.19,49,4,14.944,37.9,566.0
3.635,4.39,-45.0,-45.0,-69,4,14.8,79.2,1174.0
3.712,19.86,-0.88,-0.88,-68,4,14.824,72.5,1074.0
3.788,50.8,62.4,62.4,-57,4,14.936,40.2,600.0
3.864,64.51,81.74,81.74,4,4,15.056,3.4,52.0
3.944,72.42,60.29,60.29,-1,4,15.06,3.6,56.0
4.022,58.36,-10.72,-10.72,9,4,15.056,3.9,58.0
4.096,52.56,-65.57,-65.57,15,4,15.056,3.9,58.0
4.171,61.7,-79.45,-79.45,-40,4,15.052,5.4,82.0
