t,pend,servo,mode,pwm,v
0.064,-2.64,-2.99,5,38,14.72
0.135,-7.73,-9.67,5,37,14.72
0.215,-4.92,-14.06,5,-30,14.77
0.291,6.68,-12.83,5,-31,14.76
0.366,11.78,-13.71,5,36,14.74
0.448,2.29,-21.97,5,36,14.73
0.542,-11.78,-33.93,5,35,14.62
0.624,-5.98,-35.51,5,-16,14.76
0.712,13.18,-29.0,5,-20,14.76
0.788,15.47,-28.83,5,35,14.74
0.866,-0.35,-36.91,5,34,14.76
0.94,-13.01,-42.36,5,32,14.75
1.021,-7.38,-38.5,5,-14,14.76
1.103,9.14,-28.48,5,-20,14.76
1.177,16.17,-22.5,5,36,14.76
1.263,-0.88,-28.48,5,35,14.74
1.352,-16.52,-34.8,5,35,14.74
1.442,-6.5,-29.36,5,-18,14.76
1.522,13.01,-18.98,5,-27,14.76
1.595,17.58,-16.0,5,37,14.73
1.672,-1.05,-25.49,5,36,14.74
1.759,-19.34,-35.33,5,35,14.74
1.841,-9.84,-32.17,5,-18,14.74
1.914,12.48,-21.8,5,-25,14.77
1.992,21.8,-17.58,5,37,14.73
2.083,-1.23,-29.88,5,35,14.74
2.169,-21.09,-40.6,5,34,14.74
2.247,-11.95,-37.09,5,-14,14.68
2.332,13.18,-24.79,5,-22,14.76
2.414,22.5,-20.21,5,37,14.73
2.491,0.7,-30.94,5,35,14.74
2.574,-21.45,-41.84,5,33,14.75
2.665,-11.78,-37.09,5,-14,14.76
2.747,16.0,-22.68,5,-23,14.76
2.848,22.85,-18.63,5,37,14.6
2.92,-4.75,-31.46,5,35,14.74
3.005,-23.73,-40.43,5,34,14.75
3.091,-12.3,-35.16,5,-16,14.76
3.189,21.62,-18.46,5,-27,14.76
3.278,21.62,-17.75,5,38,14.73
3.357,-11.07,-34.1,5,35,14.76
3.438,-24.96,-40.96,5,34,14.75
3.519,-10.02,-34.98,5,-16,14.76
3.599,19.69,-21.62,5,-25,14.76
3.687,24.26,-19.86,5,36,14.73
3.761,-1.41,-32.87,5,35,14.74
3.834,-23.55,-43.95,5,33,14.75
3.92,-17.75,-41.48,5,-12,14.76
4.001,11.25,-27.42,5,-20,14.76
4.073,26.37,-20.21,5,37,14.78
4.154,11.78,-26.72,5,36,14.74
4.234,-19.34,-42.01,5,32,14.74
4.338,-19.86,-41.84,5,-11,14.76
4.425,12.66,-25.14,5,-22,14.76
4.517,24.43,-18.46,5,37,14.73
4.596,1.93,-28.83,5,35,14.74
4.681,-24.26,-41.31,5,33,14.74
4.756,-17.23,-37.97,5,-14,14.76
4.839,11.07,-23.73,5,-24,14.76
4.919,26.54,-16.35,5,37,14.75
4.998,10.02,-23.91,5,37,14.74
5.088,-23.55,-40.96,5,34,14.75
5.171,-19.51,-39.55,5,-13,14.77
5.255,12.66,-24.08,5,-23,14.76
5.339,27.42,-17.23,5,-28,14.76
5.414,13.54,-23.2,5,36,14.74
5.493,-17.05,-38.32,5,34,14.75
5.568,-25.84,-42.19,5,-11,14.76
5.661,2.99,-28.48,5,-20,14.76
5.76,27.25,-16.88,5,-28,14.76
5.842,11.95,-23.73,5,37,14.75
5.93,-20.39,-40.08,5,33,14.75
6.01,-24.26,-42.19,5,-11,14.61
6.082,1.41,-30.23,5,-18,14.76
6.194,28.3,-18.11,5,-27,14.76
6.283,6.33,-28.48,5,35,14.74
6.366,-23.55,-43.24,5,32,14.71
6.45,-21.45,-42.54,5,-11,14.74
6.533,8.79,-27.95,5,-20,14.76
6.615,27.95,-18.98,5,-27,14.76
6.694,14.24,-24.79,5,36,14.74
6.785,-22.15,-42.54,5,32,14.76
6.864,-23.38,-42.72,5,-11,14.77
