t,pend,servo,mode,pwm,v
0.057,-0.35,-0.18,5,35,14.74
0.136,-1.76,-1.76,5,34,14.77
0.214,-2.29,-3.69,5,34,14.74
0.293,-1.41,-5.8,5,-17,14.76
0.373,2.46,-5.8,5,-17,14.77
0.466,4.39,-5.8,5,-33,14.77
0.536,2.29,-6.33,5,18,14.76
0.614,-0.7,-6.15,5,35,14.78
0.686,-2.29,-5.27,5,35,14.76
0.76,-3.34,-5.1,5,-33,14.75
0.862,-0.35,-3.34,5,-17,14.77
0.936,2.81,-1.58,5,-18,14.77
1.008,2.29,-1.76,5,-34,14.76
1.09,-0.35,-2.29,5,18,14.76
1.169,-2.29,-2.29,5,34,14.76
1.262,-2.99,-2.81,5,34,14.73
1.343,-0.7,-2.46,5,-18,14.76
1.424,2.29,-1.76,5,-18,14.78
1.526,2.29,-2.29,5,-34,14.77
1.65,-0.35,-2.99,5,18,14.77
1.727,-2.29,-3.34,5,34,14.75
1.807,-1.76,-3.52,5,-17,14.76
1.887,1.41,-2.29,5,-18,14.76
1.96,2.46,-1.93,5,-34,14.77
2.035,1.05,-2.46,5,18,14.77
2.136,-1.23,-2.99,5,34,14.77
2.227,-2.29,-3.16,5,34,14.75
2.318,-1.23,-3.69,5,-17,14.76
2.421,2.46,-2.64,5,-34,14.77
2.493,2.46,-2.81,5,-34,14.76
2.588,0.53,-3.34,5,19,14.76
2.669,-1.76,-3.34,5,34,14.77
2.746,-2.64,-3.52,5,34,14.76
2.824,-1.23,-3.34,5,-17,14.77
2.899,1.76,-2.29,5,-18,14.76
2.974,2.46,-2.11,5,-34,14.76
3.059,0.7,-2.81,5,18,14.77
3.138,-1.41,-2.99,5,18,14.74
3.209,-2.29,-3.16,5,34,14.74
3.299,-2.11,-3.87,5,-34,14.79
3.388,1.41,-2.81,5,-18,14.76
3.468,2.64,-2.46,5,-34,14.76
3.547,1.05,-3.16,5,18,14.76
3.636,-1.41,-3.52,5,19,14.77
3.709,-2.46,-3.69,5,34,14.74
3.786,-2.29,-4.04,5,-17,14.77
3.858,0.7,-3.16,5,-18,14.77
3.942,2.81,-2.46,5,-34,14.77
4.019,1.76,-2.81,5,34,14.74
4.111,-1.05,-3.34,5,34,14.75
4.193,-2.46,-3.52,5,34,14.76
4.285,-2.11,-4.04,5,-17,14.77
4.384,1.23,-2.99,5,-18,14.76
4.478,2.64,-2.81,5,-34,14.76
4.558,0.35,-3.34,5,19,14.76
4.661,-1.41,-3.52,5,34,14.75
4.736,-2.46,-3.69,5,34,14.75
4.842,-1.05,-3.87,5,-17,14.77
4.939,2.46,-2.64,5,-34,14.76
5.019,1.76,-2.99,5,18,14.77
5.102,-0.35,-3.34,5,19,14.77
5.187,-2.11,-3.34,5,19,14.75
5.292,-2.46,-3.87,5,-34,14.77
5.364,0.7,-2.99,5,-18,14.77
5.442,2.46,-2.46,5,-34,14.77
5.524,1.93,-2.64,5,-34,14.76
5.612,-0.7,-3.34,5,19,14.77
5.693,-2.11,-3.34,5,34,14.76
5.783,-2.46,-3.87,5,-34,14.77
5.863,0.35,-3.16,5,-18,14.77
5.937,2.46,-2.46,5,-34,14.77
6.01,1.93,-2.64,5,-34,14.77
6.093,-0.18,-3.16,5,34,14.78
6.167,-1.93,-3.52,5,34,14.75
6.24,-2.46,-3.69,5,34,14.75
6.312,-1.23,-3.69,5,-17,14.77
6.427,1.76,-2.64,5,-18,14.78
6.506,1.93,-2.81,5,-34,14.76
6.576,0.18,-3.16,5,34,14.77
6.663,-1.76,-3.16,5,18,14.77
6.752,-2.46,-3.52,5,34,14.74
6.855,0.18,-3.16,5,-18,14.77
6.944,2.46,-2.46,5,-34,14.77
7.033,1.76,-2.81,5,34,14.77
7.115,-0.7,-3.52,5,19,14.77
7.187,-1.93,-3.52,5,34,14.74
7.28,-2.46,-4.22,5,-34,14.76
7.361,0.53,-3.34,5,-17,14.77
7.448,2.64,-2.64,5,-34,14.76
7.524,1.58,-3.16,5,34,14.78
7.601,-0.53,-3.52,5,19,14.76
7.69,-2.11,-3.52,5,19,14.74
7.769,-2.81,-4.04,5,-34,14.76
7.844,-0.18,-3.34,5,-17,14.77
7.943,2.81,-2.46,5,-34,14.77
8.013,1.93,-2.81,5,18,14.71
8.088,-0.35,-3.34,5,19,14.76
8.167,-1.93,-3.52,5,34,14.76
8.281,-2.46,-4.22,5,-34,14.76
8.385,1.41,-2.99,5,-18,14.77
8.469,2.81,-2.81,5,-34,14.76
8.551,1.05,-3.34,5,19,14.76
8.648,-1.23,-3.34,5,19,14.75
8.725,-2.64,-3.52,5,34,14.76
8.814,-1.93,-3.69,5,-17,14.77
8.893,1.41,-2.46,5,-18,14.77
8.974,2.46,-2.29,5,18,14.76
9.071,0.18,-2.99,5,18,14.77
9.146,-1.41,-3.16,5,34,14.77
9.239,-2.46,-3.52,5,34,14.75
9.31,-1.58,-3.69,5,-17,14.77
9.417,2.11,-2.46,5,-18,14.77
9.511,2.11,-2.81,5,-34,14.76
9.589,-0.18,-3.52,5,19,14.76
9.682,-1.93,-3.52,5,34,14.76
9.756,-2.46,-3.87,5,34,14.62
9.828,-0.7,-3.69,5,-17,14.76
9.941,2.46,-2.46,5,-34,14.77
10.029,1.76,-2.81,5,34,14.75
10.101,-0.7,-3.52,5,19,14.76
10.178,-2.11,-3.52,5,34,14.75
10.249,-2.64,-4.04,5,34,14.75
10.375,1.05,-3.16,5,-18,14.73
10.453,2.81,-2.81,5,-34,14.76
10.547,1.05,-3.34,5,19,14.76
10.632,-1.05,-3.69,5,34,14.78
10.702,-2.64,-3.87,5,19,14.75
10.777,-2.29,-3.87,5,-34,14.77
10.863,0.7,-2.99,5,-18,14.77
10.945,2.46,-2.46,5,-34,14.77
11.022,1.58,-2.81,5,34,14.76
11.13,-1.23,-3.52,5,19,14.75
11.218,-2.46,-3.87,5,34,14.73
11.317,-1.05,-4.22,5,-34,14.77
11.396,2.29,-3.16,5,-18,14.71
11.494,2.46,-3.34,5,-34,14.76
11.578,0.0,-3.87,5,19,14.78
11.695,-2.46,-3.87,5,19,14.77
11.799,-1.76,-4.04,5,-17,14.77
11.869,1.05,-3.16,5,-18,14.78
11.94,2.46,-2.64,5,-34,14.76
12.024,1.58,-2.99,5,18,14.75
12.103,-0.35,-3.52,5,34,14.77
12.2,-2.46,-3.87,5,34,14.75
12.281,-1.93,-4.04,5,-34,14.76
12.386,1.58,-2.99,5,-18,14.77
12.465,2.29,-2.81,5,18,14.77
12.567,0.53,-3.16,5,18,14.77
12.644,-1.58,-3.34,5,34,14.75
12.738,-2.46,-3.69,5,34,14.74
12.831,-0.53,-3.69,5,-17,14.77
12.929,2.64,-2.81,5,-18,14.76
13.012,2.11,-3.16,5,-34,14.77
13.093,-0.18,-3.69,5,19,14.77
13.218,-2.46,-3.69,5,34,14.75
13.301,-1.93,-4.04,5,-17,14.77
13.395,1.76,-2.64,5,-18,14.77
13.474,2.46,-2.46,5,18,14.76
13.551,0.7,-3.16,5,18,14.77
13.629,-1.05,-3.34,5,19,14.77
13.731,-2.46,-3.69,5,34,14.76
13.823,-1.23,-3.87,5,-17,14.77
13.898,1.76,-2.81,5,-18,14.77
13.985,2.64,-2.81,5,-34,14.76
14.076,0.7,-3.34,5,19,14.74
14.155,-1.58,-3.34,5,19,14.75
14.242,-2.46,-3.34,5,34,14.75
14.313,-1.41,-3.34,5,-17,14.77
14.413,1.76,-2.29,5,-18,14.77
14.509,1.76,-2.29,5,-34,14.76
14.599,0.0,-2.81,5,18,14.76
14.678,-1.76,-2.99,5,34,14.73
14.749,-2.46,-3.52,5,34,14.75
14.839,-0.35,-3.34,5,-17,14.77
14.914,2.11,-2.46,5,-18,14.77
15.022,1.76,-2.64,5,18,14.76
15.123,-0.88,-3.16,5,34,14.77
15.196,-2.11,-3.34,5,34,14.77
15.289,-2.11,-3.87,5,-34,14.76
15.372,0.88,-2.99,5,-18,14.77
15.449,2.64,-2.46,5,-34,14.77
15.533,1.58,-2.81,5,18,14.75
15.635,-1.05,-3.34,5,34,14.76
15.713,-2.29,-3.34,5,34,14.74
15.782,-2.46,-3.87,5,-34,14.76
15.859,0.35,-2.99,5,-18,14.77
15.955,2.46,-2.46,5,-34,14.77
16.04,1.23,-2.99,5,18,14.77
16.112,-0.88,-3.52,5,19,14.76
16.186,-2.11,-3.52,5,19,14.75
16.284,-2.11,-3.69,5,-34,14.77
16.378,1.05,-2.81,5,-18,14.77
16.456,2.29,-2.46,5,-34,14.78
16.536,1.23,-2.81,5,18,14.76
16.635,-1.23,-3.34,5,19,14.75
16.713,-2.11,-3.52,5,34,14.75
16.79,-1.93,-4.04,5,-34,14.77
16.868,0.88,-2.99,5,-18,14.77
16.962,2.46,-2.64,5,-34,14.76
17.047,1.05,-3.16,5,18,14.77
17.124,-0.88,-3.34,5,19,14.76
17.196,-2.11,-3.34,5,34,14.75
17.283,-2.46,-4.04,5,-34,14.77
17.373,1.05,-2.99,5,-18,14.77
17.466,2.64,-2.46,5,-34,14.76
17.569,0.35,-3.34,5,19,14.76
17.654,-1.76,-3.34,5,19,14.76
17.725,-2.46,-3.52,5,34,14.76
17.804,-1.76,-3.87,5,-17,14.77
17.889,1.58,-2.64,5,-18,14.76
17.972,2.46,-2.46,5,-34,14.77
18.045,1.05,-2.99,5,18,14.76
18.123,-1.05,-3.34,5,34,14.76
18.207,-2.29,-3.52,5,34,14.76
18.309,-1.76,-3.87,5,-17,14.77
18.411,1.58,-2.81,5,-18,14.77
18.485,2.46,-2.81,5,-34,14.76
18.557,0.7,-3.34,5,19,14.77
18.63,-1.23,-3.69,5,34,14.76
18.703,-2.46,-3.69,5,19,14.76
18.804,-1.93,-4.22,5,-17,14.77
18.884,1.41,-2.99,5,-18,14.76
18.977,2.46,-2.81,5,18,14.75
19.079,0.0,-3.34,5,19,14.7
19.159,-1.76,-3.52,5,34,14.76
19.241,-2.46,-3.52,5,34,14.75
19.317,-1.23,-3.52,5,-17,14.76
19.402,1.41,-2.46,5,-18,14.76
19.473,2.29,-2.46,5,-34,14.77
19.56,0.7,-2.99,5,18,14.77
19.656,-1.23,-3.16,5,18,14.75
19.741,-2.29,-3.34,5,34,14.75
19.836,-0.53,-3.16,5,-17,14.77
19.914,1.93,-2.29,5,-34,14.76
20.001,2.11,-2.46,5,18,14.77
20.075,0.0,-2.99,5,34,14.77
20.163,-1.58,-3.16,5,34,14.77
20.259,-2.46,-3.87,5,34,14.75
20.37,0.35,-3.34,5,-17,14.77
20.443,2.81,-2.64,5,-34,14.77
20.513,2.11,-2.99,5,-34,14.76
20.61,-0.7,-3.52,5,19,14.71
20.688,-2.11,-3.34,5,19,14.75
20.776,-2.64,-3.87,5,-34,14.77
20.854,0.0,-2.99,5,-18,14.76
20.929,2.29,-2.29,5,-34,14.77
21.019,1.76,-2.46,5,-34,14.77
21.089,-0.18,-2.99,5,18,14.75
21.179,-2.11,-3.52,5,34,14.76
21.249,-2.46,-3.87,5,34,14.75
21.323,-1.05,-3.87,5,-17,14.77
21.402,2.11,-2.81,5,-18,14.76
21.506,2.46,-2.99,5,-34,14.76
21.597,-0.35,-3.52,5,19,14.76
21.684,-2.11,-3.69,5,19,14.75
21.758,-2.64,-3.87,5,34,14.76
21.847,-0.35,-3.52,5,-17,14.76
21.917,2.46,-2.46,5,-18,14.77
21.994,2.29,-2.81,5,-34,14.77
22.09,0.18,-3.16,5,18,14.77
22.193,-2.11,-3.34,5,34,14.76
22.27,-2.64,-3.87,5,-34,14.78
22.379,0.53,-2.99,5,-18,14.77
22.45,2.46,-2.46,5,-34,14.77
22.526,1.76,-2.81,5,-34,14.76
22.597,-0.35,-3.16,5,18,14.77
22.685,-1.93,-3.16,5,18,14.77
22.763,-2.64,-3.69,5,34,14.75
22.837,-0.7,-3.34,5,-17,14.77
22.945,2.46,-2.29,5,-34,14.77
23.017,1.93,-2.64,5,18,14.76
23.099,-0.35,-3.16,5,18,14.77
23.174,-1.76,-3.34,5,34,14.76
23.252,-2.29,-3.34,5,34,14.74
23.332,-0.53,-3.16,5,-18,14.77
23.413,1.76,-2.29,5,-18,14.76
23.485,2.11,-2.29,5,-34,14.76
23.557,0.7,-2.64,5,18,14.76
23.647,-1.41,-2.99,5,18,14.76
23.721,-2.29,-3.16,5,34,14.75
23.801,-1.93,-3.69,5,-34,14.77
23.875,1.05,-2.81,5,-18,14.77
23.952,2.46,-2.46,5,-34,14.77
24.023,1.76,-2.81,5,-34,14.76
24.099,-0.35,-3.34,5,19,14.75
24.174,-1.93,-3.34,5,34,14.77
24.255,-2.46,-3.69,5,34,14.75
24.351,0.18,-3.34,5,-17,14.76
24.437,2.46,-2.46,5,-34,14.77
24.533,1.41,-2.99,5,18,14.76
24.632,-1.23,-3.34,5,34,14.75
24.737,-2.46,-3.52,5,34,14.74
24.816,-1.41,-3.52,5,-17,14.65
24.89,1.41,-2.46,5,-18,14.76
24.967,2.29,-2.29,5,-34,14.77
25.066,1.05,-2.64,5,18,14.76
25.148,-1.41,-3.16,5,18,14.76
25.223,-2.29,-3.34,5,19,14.76
25.298,-1.41,-3.34,5,-17,14.77
25.447,1.05,-2.46,5,-18,14.78
25.531,1.41,-2.46,5,-34,14.77
25.604,-0.53,-2.99,5,18,14.75
25.683,-1.93,-2.99,5,18,14.75
25.757,-2.46,-3.69,5,34,14.75
25.856,0.18,-3.16,5,-18,14.78
25.931,2.46,-2.46,5,-34,14.78
26.005,2.11,-2.81,5,-34,14.65
26.08,0.18,-3.16,5,18,14.77
26.173,-1.58,-3.16,5,18,14.76
26.259,-2.29,-3.34,5,34,14.72
26.331,-0.7,-2.99,5,-18,14.77
26.413,1.76,-2.29,5,-34,14.77
26.499,1.93,-2.29,5,18,14.77
26.575,0.18,-2.64,5,18,14.76
26.659,-1.41,-2.81,5,18,14.75
26.744,-2.46,-3.34,5,34,14.74
26.82,-1.23,-3.52,5,-17,14.78
26.904,1.76,-2.46,5,-18,14.77
26.975,2.64,-2.46,5,-34,14.76
27.056,0.88,-2.99,5,18,14.76
27.132,-1.05,-3.34,5,19,14.75
27.209,-2.29,-3.34,5,34,14.76
27.281,-2.46,-3.87,5,-34,14.77
27.376,0.7,-2.81,5,-18,14.76
27.453,2.46,-2.29,5,-34,14.76
27.531,1.41,-2.64,5,34,14.75
27.621,-0.88,-3.16,5,34,14.75
27.699,-2.46,-3.69,5,34,14.75
27.771,-2.11,-3.69,5,-34,14.77
27.853,0.35,-3.16,5,-18,14.77
27.942,2.29,-2.64,5,-34,14.76
28.028,1.58,-2.81,5,-34,14.76
28.139,-1.05,-2.99,5,34,14.76
28.212,-2.46,-3.16,5,34,14.76
28.295,-2.29,-3.69,5,-34,14.7
28.37,0.88,-2.81,5,-18,14.76
28.446,2.64,-2.46,5,-34,14.77
28.518,1.93,-2.81,5,18,14.76
28.592,-0.18,-3.34,5,19,14.76
28.662,-1.76,-3.34,5,34,14.76
28.739,-2.46,-3.52,5,34,14.74
28.828,-1.05,-3.34,5,-17,14.77
28.899,1.76,-2.29,5,-34,14.77
28.986,2.11,-2.29,5,-34,14.76
29.066,0.35,-2.81,5,18,14.76
29.153,-1.23,-2.99,5,34,14.77
29.243,-2.46,-3.52,5,34,14.74
29.314,-1.41,-3.87,5,-17,14.65
29.4,1.58,-2.81,5,-18,14.77
29.49,2.64,-2.64,5,-34,14.76
29.574,0.35,-3.52,5,19,14.77
29.664,-1.76,-3.52,5,19,14.75
29.743,-2.46,-3.69,5,34,14.75
29.829,-0.7,-3.34,5,-17,14.64
29.91,1.93,-2.29,5,-18,14.76
29.992,1.93,-2.46,5,-34,14.77
30.07,0.35,-2.81,5,18,14.76
30.146,-1.41,-2.99,5,18,14.75
30.253,-2.46,-3.34,5,34,14.73
30.334,-0.88,-3.34,5,-17,14.77
30.433,2.46,-2.29,5,-18,14.77
30.546,1.58,-2.81,5,34,14.78
30.633,-0.88,-3.34,5,18,14.77
30.713,-2.29,-3.34,5,19,14.76
30.787,-1.76,-3.34,5,-17,14.77
30.857,0.35,-2.64,5,-18,14.77
30.931,1.93,-2.11,5,-34,14.76
31.029,1.23,-2.29,5,34,14.77
31.114,-0.88,-2.81,5,34,14.76
31.204,-2.46,-3.34,5,19,14.74
31.279,-2.29,-4.04,5,-17,14.76
31.387,1.41,-3.16,5,-18,14.77
31.459,2.81,-2.99,5,18,14.77
31.539,1.41,-3.34,5,19,14.76
31.612,-0.7,-3.52,5,19,14.78
31.689,-2.11,-3.34,5,34,14.78
31.766,-2.64,-3.52,5,34,14.75
31.852,-0.35,-2.99,5,-18,14.77
31.929,2.29,-2.11,5,-18,14.77
32.006,1.93,-2.29,5,18,14.76
32.103,-0.53,-2.99,5,18,14.77
32.185,-1.93,-2.99,5,34,14.75
32.258,-2.64,-3.52,5,34,14.75
32.356,-0.35,-3.16,5,-18,14.77
32.443,2.46,-2.29,5,-34,14.77
32.518,1.93,-2.64,5,-34,14.76
32.588,0.0,-2.99,5,18,14.75
32.69,-2.11,-3.34,5,34,14.75
32.761,-2.64,-3.69,5,34,14.75
32.837,-0.7,-3.34,5,-17,14.76
32.929,2.29,-2.46,5,-18,14.79
33.005,2.11,-2.64,5,18,14.77
33.083,0.0,-3.16,5,18,14.76
33.167,-1.76,-3.16,5,18,14.77
33.24,-2.46,-3.34,5,34,14.75
33.312,-1.58,-3.52,5,-17,14.62
33.388,1.41,-2.46,5,-18,14.77
33.477,2.46,-2.29,5,-34,14.76
33.55,0.88,-2.64,5,18,14.77
33.639,-1.05,-2.99,5,34,14.76
33.738,-2.29,-3.16,5,34,14.76
33.814,-1.41,-3.69,5,-17,14.76
33.898,1.58,-2.64,5,-18,14.77
33.984,2.46,-2.46,5,-34,14.77
34.068,0.53,-2.99,5,18,14.77
34.165,-1.58,-3.34,5,19,14.75
34.245,-2.46,-3.69,5,34,14.74
34.321,-1.23,-3.69,5,-17,14.77
34.396,1.76,-2.64,5,-18,14.76
34.476,2.64,-2.46,5,-34,14.76
34.579,0.35,-3.16,5,18,14.77
34.683,-1.93,-3.34,5,34,14.76
34.779,-2.46,-3.87,5,34,14.74
34.853,0.18,-3.34,5,-17,14.76
34.933,2.46,-2.64,5,-34,14.77
35.009,2.11,-2.81,5,-34,14.77
35.096,0.0,-3.34,5,19,14.77
35.19,-1.93,-3.34,5,34,14.76
35.266,-2.46,-3.52,5,-34,14.75
35.352,0.0,-2.81,5,-18,14.76
35.425,2.11,-2.29,5,-34,14.77
35.497,1.93,-2.29,5,18,14.76
35.569,0.0,-2.99,5,18,14.77
35.654,-1.58,-3.34,5,34,14.76
35.727,-2.29,-3.69,5,34,14.74
35.807,-1.76,-4.22,5,-17,14.77
35.88,1.58,-3.16,5,-17,14.77
35.955,2.81,-2.99,5,-34,14.77
36.033,1.58,-3.34,5,34,14.75
36.115,-1.23,-4.22,5,19,14.75
36.205,-2.29,-4.04,5,34,14.76
36.283,-2.46,-4.57,5,-34,14.74
36.36,0.53,-3.87,5,-17,14.77
36.471,2.99,-2.99,5,-34,14.77
36.559,0.7,-3.69,5,19,14.76
36.647,-1.41,-3.69,5,19,14.77
36.728,-2.64,-3.69,5,34,14.75
36.802,-2.11,-4.04,5,-17,14.76
36.885,1.41,-2.81,5,-18,14.76
36.962,2.81,-2.46,5,-34,14.77
37.039,1.05,-3.16,5,18,14.78
37.128,-1.41,-3.87,5,19,14.77
37.206,-2.29,-3.87,5,34,14.73
37.279,-2.46,-4.57,5,-34,14.77
37.377,1.41,-3.52,5,-17,14.77
37.456,2.99,-3.16,5,-34,14.78
37.533,1.76,-3.52,5,19,14.76
37.608,-0.53,-3.69,5,19,14.76
37.684,-2.46,-3.69,5,19,14.76
37.769,-2.81,-3.87,5,-34,14.76
37.859,-0.53,-3.34,5,-17,14.77
37.936,2.64,-2.29,5,-34,14.74
38.01,2.11,-2.64,5,18,14.76
38.084,0.0,-3.16,5,18,14.77
38.16,-1.58,-3.16,5,18,14.76
38.235,-2.46,-3.34,5,34,14.75
38.312,-1.58,-3.52,5,-17,14.76
38.402,1.58,-2.29,5,-18,14.77
38.481,2.29,-2.29,5,18,14.76
38.562,0.53,-3.16,5,18,14.77
38.645,-1.76,-3.69,5,19,14.75
38.715,-2.46,-4.04,5,34,14.74
38.801,-1.93,-4.75,5,-17,14.77
38.883,1.76,-3.52,5,-17,14.77
38.963,2.99,-3.34,5,-34,14.78
39.037,1.41,-3.69,5,34,14.76
39.111,-0.88,-3.87,5,19,14.77
39.183,-2.11,-3.52,5,19,14.75
39.266,-2.81,-3.87,5,-34,14.75
39.336,-0.7,-3.34,5,-17,14.77
39.411,2.11,-2.29,5,-18,14.76
