t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.034,-5.27,-12.13,-12.13,54,5,14.484,54.3,786.0
0.127,-23.03,-26.89,-26.89,53,5,14.488,51.8,750.0
0.207,-43.24,-31.64,-31.64,38,5,14.656,14.5,212.0
0.285,-52.73,-10.55,-10.55,-46,5,14.672,9.8,144.0
0.376,-51.5,24.79,24.79,-46,5,14.66,13.0,190.0
0.453,-56.95,29.53,29.53,44,5,14.58,6.3,92.0
0.558,-85.25,-14.59,-14.59,36,5,14.668,9.1,134.0
0.639,-80.16,-20.74,-20.74,-37,5,14.704,6.0,88.0
0.74,-51.68,5.27,5.27,-46,5,14.676,7.8,114.0
0.869,-26.19,9.14,9.14,52,5,14.488,32.9,472.0
0.944,-38.5,-29.53,-29.53,49,5,14.52,42.7,620.0
1.022,-49.57,-53.44,-53.44,47,5,14.66,12.0,176.0
1.107,-50.27,-36.56,-36.56,-46,5,14.66,9.8,144.0
1.204,-29.18,17.75,17.75,-51,5,14.64,17.2,252.0
1.279,-18.28,49.22,49.22,-53,5,14.6,25.1,368.0
1.374,-21.8,27.77,27.77,53,5,14.5,51.9,754.0
1.466,-56.25,-37.62,-37.62,45,5,14.588,27.5,400.0
1.584,-79.98,-77.69,-77.69,-38,5,14.696,4.7,68.0
1.672,-74.53,-27.95,-27.95,-39,5,14.696,5.5,82.0
1.77,-52.38,39.55,39.55,-46,5,14.672,10.0,148.0
1.841,-50.1,69.08,69.08,-46,5,14.676,13.4,196.0
1.939,-61.52,31.99,31.99,43,5,14.604,23.8,348.0
2.009,-89.82,-29.53,-29.53,35,5,14.656,10.6,150.0
2.116,-60.82,-34.1,-34.1,-43,5,14.684,6.2,92.0
2.193,-26.37,-8.44,-8.44,-52,5,14.576,26.2,384.0
2.266,8.96,20.39,20.39,-54,5,14.6,24.2,354.0
2.336,36.03,32.17,32.17,-50,5,14.636,15.9,232.0
2.417,49.92,11.6,11.6,46,5,14.564,34.8,508.0
2.492,39.02,-41.84,-41.84,49,5,14.528,43.4,632.0
2.585,33.4,-72.25,-72.25,51,5,14.504,51.0,740.0
2.661,32.7,-57.13,-57.13,-51,5,14.62,20.3,298.0
2.747,58.36,12.83,12.83,-44,5,14.68,6.7,98.0
2.822,66.97,51.15,51.15,-41,5,14.676,7.1,104.0
2.896,62.4,50.27,50.27,43,5,14.612,22.0,322.0
2.966,39.9,9.49,9.49,49,5,14.564,36.2,528.0
3.044,-3.87,-57.13,-57.13,54,5,14.488,50.3,728.0
3.148,-31.46,-91.06,-91.06,-51,5,14.616,21.2,312.0
3.228,-53.26,-67.15,-67.15,-45,5,14.66,12.4,180.0
3.306,-45.88,3.52,3.52,-47,5,14.684,12.7,186.0
3.39,-42.72,71.02,71.02,-48,5,14.652,14.2,206.0
3.47,-49.75,86.13,86.13,46,5,14.612,27.6,404.0
3.568,-65.39,40.78,40.78,42,5,14.612,23.3,340.0
3.653,-84.55,-17.4,-17.4,36,5,14.652,14.1,206.0
3.73,-63.98,-27.42,-27.42,42,5,14.552,34.0,494.0
3.803,-45.0,-24.43,-24.43,-47,5,14.652,11.9,174.0
3.874,-17.4,-4.39,-4.39,-53,5,14.616,19.8,288.0
3.949,14.59,18.98,18.98,-54,5,14.6,23.4,340.0
4.052,42.19,22.68,22.68,48,5,14.384,58.6,846.0
4.144,40.08,-24.61,-24.61,49,5,14.52,43.7,636.0
4.216,31.82,-62.23,-62.23,51,5,14.488,49.5,718.0
4.293,28.3,-61.7,-61.7,-52,5,14.608,21.8,318.0
4.368,41.13,-18.28,-18.28,-49,5,14.648,14.1,206.0
4.448,62.58,39.73,39.73,-43,5,14.66,9.2,134.0
4.536,62.58,51.15,51.15,43,5,14.596,24.4,358.0
4.611,43.95,16.17,16.17,47,5,14.56,35.3,514.0
4.682,0.18,-51.15,-51.15,54,5,14.488,49.6,718.0
4.755,-23.03,-84.2,-84.2,53,5,14.448,55.9,810.0
4.858,-47.46,-75.59,-75.59,-47,5,14.656,14.3,210.0
4.936,-48.16,-11.95,-11.95,-47,5,14.664,9.9,144.0
5.017,-40.25,61.0,61.0,-49,5,14.648,18.0,266.0
5.089,-47.11,83.85,83.85,-47,5,14.648,12.9,190.0
5.164,-53.61,67.68,67.68,45,5,14.492,36.0,522.0
5.24,-77.52,10.55,10.55,38,5,14.652,11.9,174.0
5.308,-79.98,-25.49,-25.49,37,5,14.636,13.8,204.0
5.384,-59.77,-28.83,-28.83,-44,5,14.636,12.4,180.0
5.471,-27.07,-10.9,-10.9,-52,5,14.576,24.8,360.0
5.551,9.14,15.12,15.12,-54,5,14.596,24.0,350.0
5.625,39.02,26.54,26.54,-49,5,14.636,14.4,210.0
5.7,53.09,10.55,10.55,45,5,14.548,34.1,494.0
5.784,45.18,-43.95,-43.95,48,5,14.52,40.4,586.0
5.871,42.01,-66.44,-66.44,48,5,14.524,41.0,596.0
5.948,45.18,-47.11,-47.11,-48,5,14.652,12.8,186.0
6.021,67.5,8.44,8.44,-41,5,14.68,5.4,78.0
6.1,75.94,43.07,43.07,-39,5,14.68,5.9,86.0
6.187,65.04,31.29,31.29,42,5,14.496,32.9,478.0
6.26,31.46,-19.69,-19.69,51,5,14.524,40.5,590.0
6.33,-0.53,-66.62,-66.62,55,5,14.476,51.8,750.0
6.406,-23.03,-80.86,-80.86,53,5,14.476,50.5,730.0
6.493,-42.19,-55.37,-55.37,-48,5,14.64,16.5,242.0
6.565,-35.51,16.35,16.35,-50,5,14.628,15.8,232.0
6.637,-36.56,65.57,65.57,-50,5,14.624,17.1,250.0
6.724,-44.3,77.69,77.69,48,5,14.524,41.7,594.0
6.801,-57.66,42.89,42.89,44,5,14.464,41.7,606.0
6.874,-90.18,-21.62,-21.62,34,5,14.648,10.2,150.0
6.958,-69.43,-28.65,-28.65,-41,5,14.684,5.5,82.0
7.031,-40.96,-15.47,-15.47,-49,5,14.656,10.2,150.0
7.136,1.58,13.54,13.54,-54,5,14.604,23.2,338.0
7.212,38.5,26.02,26.02,-50,5,14.636,-0.2,4.0
7.291,54.14,7.21,7.21,45,5,14.564,32.0,466.0
7.366,49.22,-42.54,-42.54,47,5,14.54,36.8,534.0
7.451,48.34,-65.74,-65.74,47,5,14.54,37.8,550.0
7.544,54.67,-42.89,-42.89,-45,5,14.672,7.6,112.0
7.637,81.39,23.38,23.38,-37,5,14.676,5.2,76.0
7.717,81.91,41.48,41.48,-37,5,14.68,5.7,86.0
7.787,66.27,17.93,17.93,42,5,14.628,17.4,256.0
7.88,21.09,-48.16,-48.16,53,5,14.496,48.2,698.0
7.966,-5.27,-75.23,-75.23,54,5,14.464,55.5,802.0
8.044,-22.32,-62.4,-62.4,-53,5,14.592,26.2,384.0
8.133,-12.83,12.66,12.66,-54,5,14.596,22.8,334.0
8.212,-7.73,64.69,64.69,-54,5,14.58,28.3,412.0
8.287,-9.49,75.94,75.94,54,5,14.46,56.6,790.0
8.365,-19.34,43.07,43.07,53,5,14.488,50.1,728.0
8.445,-64.51,-36.39,-36.39,42,5,14.516,7.1,102.0
8.531,-89.47,-93.16,-93.16,-35,5,14.688,5.8,86.0
8.612,-90.0,-93.87,-93.87,35,5,14.664,9.5,140.0
8.696,-77.34,-44.3,-44.3,-38,5,14.688,4.4,66.0
8.79,-32.7,55.02,55.02,-51,5,14.644,16.0,232.0
8.882,-22.68,86.13,86.13,-53,5,14.6,25.0,364.0
8.956,-15.47,70.31,70.31,54,5,14.416,36.3,522.0
9.031,-30.94,11.25,11.25,51,5,14.5,45.4,658.0
9.133,-71.54,-91.93,-91.93,-40,5,14.636,13.7,200.0
9.244,-75.76,-114.26,-114.26,-39,5,14.684,6.8,98.0
9.316,-79.28,-78.4,-78.4,-38,5,14.692,5.6,82.0
9.413,-49.75,12.83,12.83,-46,5,14.672,8.3,92.0
9.507,-35.86,89.3,89.3,-50,5,14.636,18.2,266.0
9.585,-38.32,101.25,101.25,-49,5,14.636,16.2,236.0
9.667,-40.6,66.27,66.27,49,5,14.532,43.3,630.0
9.746,-75.94,-18.46,-18.46,39,5,14.648,12.1,176.0
9.822,-82.09,-78.75,-78.75,37,5,14.636,15.4,226.0
9.927,-59.94,-78.05,-78.05,-42,5,14.676,3.8,56.0
10.002,-18.11,-20.21,-20.21,-53,5,14.632,17.7,258.0
10.084,32.7,47.11,47.11,-51,5,14.532,1.6,22.0
10.167,58.18,75.41,75.41,-44,5,14.668,8.2,122.0
10.244,73.65,59.41,59.41,39,5,14.616,21.5,314.0
10.344,58.89,-23.55,-23.55,44,5,14.604,22.8,334.0
10.447,47.99,-96.86,-96.86,-47,5,14.632,9.5,138.0
10.524,50.1,-101.07,-101.07,46,5,14.56,34.0,494.0
10.603,52.56,-58.18,-58.18,-46,5,14.652,11.4,150.0
10.702,86.31,46.93,46.93,-36,5,14.68,6.5,96.0
10.79,82.27,81.21,81.21,-37,5,14.688,6.2,92.0
10.902,63.63,43.95,43.95,42,5,14.588,24.4,358.0
10.981,14.94,-34.98,-34.98,54,5,14.508,45.9,666.0
11.083,-23.03,-106.7,-106.7,-53,5,14.592,27.8,406.0
11.165,-39.73,-107.23,-107.23,49,5,14.524,42.5,616.0
11.241,-53.09,-66.09,-66.09,-45,5,14.66,11.3,168.0
11.32,-36.39,31.29,31.29,-50,5,14.64,15.4,226.0
11.403,-40.6,92.99,92.99,49,5,14.56,37.9,550.0
11.482,-52.91,109.51,109.51,46,5,14.56,32.4,472.0
11.563,-62.75,82.79,82.79,43,5,14.592,27.3,400.0
11.66,-81.21,34.1,34.1,-37,5,14.684,5.5,82.0
11.744,-83.85,37.62,37.62,36,5,14.652,13.4,196.0
11.832,-84.2,36.74,36.74,34,5,14.672,8.5,124.0
11.907,-83.85,36.74,36.74,34,5,14.688,9.8,144.0
11.982,-83.85,36.74,36.74,-12,5,14.704,6.2,92.0
12.112,-83.14,36.74,36.74,-12,5,14.692,5.1,76.0
12.222,-83.14,36.56,36.56,37,5,14.68,8.8,128.0
12.301,-83.14,36.56,36.56,34,5,14.672,9.5,140.0
12.383,-83.14,36.56,36.56,34,5,14.672,9.4,138.0
12.479,-83.14,36.56,36.56,-12,5,14.696,3.9,56.0
12.552,-83.14,36.56,36.56,-12,5,14.7,3.9,56.0
12.641,-83.14,36.56,36.56,-12,5,14.7,3.2,46.0
12.718,-83.14,36.56,36.56,34,5,14.668,9.3,138.0
12.794,-83.14,36.56,36.56,34,5,14.676,8.7,128.0
12.868,-83.14,36.56,36.56,34,5,14.676,9.0,132.0
12.946,-83.14,36.56,36.56,-12,5,14.576,16.0,236.0
13.043,-83.14,36.56,36.56,-12,5,14.696,3.8,56.0
13.132,-83.14,36.56,36.56,-12,5,14.696,6.5,96.0
13.202,-83.14,36.56,36.56,34,5,14.676,8.1,118.0
13.282,-83.14,36.56,36.56,34,5,14.676,9.5,140.0
13.359,-83.14,36.56,36.56,34,5,14.6,-7.8,114.0
13.444,-83.14,36.56,36.56,-12,5,14.7,5.5,82.0
13.523,-83.14,36.56,36.56,-12,5,14.692,4.3,62.0
13.603,-83.14,36.56,36.56,-12,5,14.696,4.1,58.0
13.679,-83.14,36.56,36.56,34,5,14.676,9.4,138.0
13.763,-83.14,36.56,36.56,34,5,14.684,8.2,122.0
13.846,-83.14,36.56,36.56,34,5,14.668,9.2,134.0
13.921,-83.14,36.56,36.56,34,5,14.692,9.1,134.0
14.006,-83.14,36.56,36.56,-12,5,14.692,4.5,66.0
14.1,-83.14,36.56,36.56,-12,5,14.696,3.4,50.0
14.176,-83.14,36.56,36.56,34,5,14.628,16.4,240.0
14.262,-83.14,36.56,36.56,34,5,14.68,7.9,114.0
14.345,-83.14,36.56,36.56,34,5,14.672,8.9,132.0
14.423,-83.14,36.56,36.56,34,5,14.672,7.3,108.0
14.499,-83.14,36.56,36.56,-12,5,14.692,4.2,62.0
14.578,-83.14,36.56,36.56,-12,5,14.704,4.6,68.0
14.661,-83.14,36.56,36.56,34,5,14.7,4.8,72.0
14.75,-83.14,36.56,36.56,34,5,14.672,9.1,134.0
14.84,-83.14,36.56,36.56,34,5,14.676,9.0,132.0
14.91,-83.14,36.56,36.56,34,5,14.672,8.3,122.0
14.985,-83.14,36.56,36.56,-12,5,14.704,3.5,52.0
15.063,-83.14,36.56,36.56,-12,5,14.7,3.4,50.0
15.143,-83.14,36.56,36.56,-12,5,14.692,4.7,68.0
15.229,-83.14,36.56,36.56,34,5,14.672,10.2,150.0
15.304,-83.14,36.56,36.56,34,5,14.668,13.0,190.0
15.398,-83.14,36.56,36.56,34,5,14.684,7.9,114.0
15.5,-83.14,36.56,36.56,-12,5,14.7,4.5,66.0
15.6,-83.14,36.56,36.56,-12,5,14.7,4.0,58.0
15.673,-83.14,36.56,36.56,34,5,14.668,5.4,78.0
15.778,-83.32,36.56,36.56,34,5,14.672,8.5,124.0
15.857,-83.32,36.56,36.56,34,5,14.668,9.7,140.0
15.929,-83.32,36.56,36.56,-12,5,14.692,4.3,62.0
16.031,-83.14,36.56,36.56,-12,5,14.676,6.8,98.0
16.103,-83.14,36.56,36.56,-12,5,14.7,4.0,58.0
16.18,-83.14,36.56,36.56,34,5,14.668,10.6,154.0
16.266,-83.32,36.39,36.39,34,5,14.668,8.7,128.0
16.377,-83.32,36.39,36.39,34,5,14.656,11.0,160.0
16.46,-83.14,36.56,36.56,-12,5,14.692,5.1,76.0
16.538,-83.14,36.56,36.56,-12,5,14.692,5.3,78.0
16.609,-83.14,36.56,36.56,-12,5,14.7,4.7,68.0
16.698,-83.32,36.39,36.39,34,5,14.676,10.1,148.0
16.776,-83.32,36.39,36.39,34,5,14.664,9.1,134.0
16.853,-83.32,36.39,36.39,34,5,14.668,8.5,124.0
16.935,-83.32,36.39,36.39,-12,5,14.7,3.1,46.0
17.017,-83.14,36.56,36.56,-12,5,14.692,6.3,92.0
17.122,-83.14,36.56,36.56,-12,5,14.672,8.3,122.0
17.2,-83.32,36.39,36.39,34,5,14.664,9.8,124.0
17.279,-83.32,36.39,36.39,34,5,14.668,8.3,122.0
17.377,-83.32,36.39,36.39,34,5,14.66,9.8,144.0
17.476,-83.32,36.39,36.39,-12,5,14.628,14.0,206.0
17.56,-83.32,36.39,36.39,-12,5,14.648,11.0,160.0
17.642,-83.32,36.39,36.39,-12,5,14.692,3.1,46.0
17.713,-83.32,36.39,36.39,34,5,14.664,13.4,196.0
17.798,-83.32,36.39,36.39,34,5,14.676,8.7,128.0
17.881,-83.32,36.39,36.39,34,5,14.664,8.8,128.0
17.999,-83.32,36.39,36.39,-12,5,14.696,3.7,56.0
18.078,-83.32,36.39,36.39,-12,5,14.68,2.4,36.0
18.18,-83.32,36.39,36.39,34,5,14.668,9.0,132.0
18.261,-83.32,36.39,36.39,34,5,14.668,10.5,154.0
18.362,-83.32,36.39,36.39,34,5,14.684,5.0,72.0
18.437,-83.32,36.39,36.39,-12,5,14.688,3.9,56.0
18.539,-83.32,36.39,36.39,-12,5,14.7,4.0,58.0
18.629,-83.32,36.39,36.39,-12,5,14.684,4.9,72.0
