t,pend,servo,mode,pwm,v
0.062,0.18,0.0,5,-35,14.76
0.161,0.0,0.0,5,-35,14.77
0.256,-0.88,-1.05,5,34,14.76
0.335,-1.76,-2.99,5,34,14.75
0.434,-1.58,-6.33,5,-33,14.71
0.512,1.93,-6.86,5,-15,14.76
0.592,5.1,-6.68,5,-15,14.76
0.687,3.34,-7.21,5,19,14.77
0.762,0.18,-7.21,5,19,14.78
0.854,-2.11,-5.62,5,35,14.75
0.924,-2.99,-5.1,5,-33,14.76
1.006,-1.05,-3.69,5,-17,14.77
1.088,2.64,-1.58,5,-18,14.77
1.174,2.64,-1.23,5,18,14.76
1.249,-0.18,-1.93,5,18,14.77
1.326,-1.93,-1.93,5,18,14.74
1.402,-2.46,-2.29,5,34,14.75
1.479,-1.23,-2.64,5,-18,14.76
1.564,1.93,-1.76,5,-18,14.77
1.636,3.16,-1.93,5,-34,14.76
1.717,1.23,-2.81,5,18,14.76
1.786,-0.53,-2.99,5,18,14.76
1.864,-1.58,-2.99,5,34,14.75
1.973,-0.88,-2.81,5,-18,14.78
2.056,1.58,-1.76,5,-18,14.77
2.132,2.29,-1.58,5,-34,14.77
2.212,0.7,-1.93,5,18,14.76
2.312,-1.58,-2.64,5,34,14.74
2.384,-2.11,-3.16,5,34,14.76
2.457,-1.41,-4.04,5,-17,14.76
2.554,2.64,-3.16,5,-18,14.76
2.628,3.52,-3.16,5,-34,14.76
2.711,1.93,-3.52,5,19,14.77
2.787,-0.7,-3.69,5,19,14.76
2.882,-2.11,-3.16,5,34,14.75
2.967,-1.58,-2.99,5,-18,14.77
3.04,1.05,-1.76,5,-18,14.77
3.119,2.46,-1.23,5,-34,14.76
3.204,1.41,-1.58,5,18,14.76
3.284,-0.88,-2.29,5,18,14.76
3.36,-2.11,-2.81,5,34,14.75
3.435,-1.93,-3.52,5,-34,14.76
3.513,0.7,-2.99,5,-18,14.77
3.604,3.16,-2.46,5,-34,14.76
3.696,2.46,-2.81,5,34,14.75
3.771,-0.35,-3.34,5,34,14.77
3.872,-1.93,-3.16,5,18,14.75
3.947,-2.11,-3.52,5,-34,14.77
4.025,0.7,-2.46,5,-18,14.77
4.11,2.81,-1.76,5,-34,14.76
4.219,1.23,-2.29,5,18,14.71
4.341,-1.41,-2.81,5,18,14.76
4.43,-2.11,-3.16,5,34,14.76
4.521,0.53,-2.81,5,-18,14.77
4.607,2.99,-2.11,5,-34,14.76
4.692,1.93,-2.64,5,18,14.75
4.773,-0.53,-3.16,5,18,14.76
4.849,-1.58,-2.99,5,34,14.76
4.93,-2.11,-3.52,5,-34,14.75
5.0,-0.18,-3.16,5,-18,14.77
5.08,2.64,-2.11,5,-34,14.77
5.161,2.64,-2.29,5,-34,14.78
5.254,0.35,-2.81,5,18,14.77
5.353,-1.58,-3.16,5,18,14.77
5.439,-2.29,-3.69,5,-34,14.77
5.518,0.7,-2.99,5,-18,14.65
5.589,2.99,-2.29,5,-18,14.76
5.688,1.93,-2.81,5,18,14.76
5.798,-1.05,-3.52,5,34,14.75
5.879,-2.11,-3.52,5,34,14.75
6.005,0.0,-3.52,5,-17,14.77
6.077,2.99,-2.64,5,-34,14.76
6.156,2.81,-2.81,5,18,14.77
6.227,0.7,-3.34,5,19,14.76
6.317,-1.41,-3.34,5,34,14.76
6.413,-2.29,-3.52,5,34,14.75
6.504,0.0,-2.99,5,-18,14.77
6.596,2.81,-2.11,5,-34,14.77
6.684,2.11,-2.46,5,34,14.76
6.787,-0.35,-2.99,5,18,14.78
6.887,-2.11,-3.34,5,34,14.75
6.984,-1.58,-3.52,5,-17,14.76
7.062,2.11,-2.29,5,-18,14.77
7.138,2.81,-2.29,5,-34,14.77
7.213,1.41,-2.81,5,18,14.77
7.291,-0.7,-2.99,5,34,14.77
7.363,-2.11,-3.34,5,34,14.75
7.439,-2.11,-3.52,5,-34,14.77
7.526,1.23,-2.64,5,-18,14.76
7.606,2.81,-2.11,5,-34,14.76
7.677,1.93,-2.46,5,34,14.77
7.76,-0.35,-2.99,5,34,14.77
7.835,-1.76,-3.16,5,34,14.77
7.905,-2.29,-3.52,5,34,14.75
7.977,-0.7,-3.52,5,-17,14.76
8.048,2.11,-2.64,5,-18,14.77
8.129,2.99,-2.64,5,-34,14.76
8.214,1.23,-2.99,5,18,14.78
8.302,-1.05,-3.16,5,18,14.77
8.377,-2.11,-3.16,5,34,14.76
8.455,-1.76,-3.52,5,-17,14.77
8.535,1.23,-2.46,5,-18,14.76
8.61,2.81,-2.11,5,-34,14.77
8.686,2.11,-2.29,5,18,14.77
8.762,-0.18,-2.81,5,34,14.77
8.85,-1.76,-3.16,5,34,14.76
8.93,-2.29,-3.52,5,-34,14.75
9.008,0.18,-2.99,5,-18,14.76
9.084,2.81,-2.29,5,-18,14.77
9.188,1.93,-2.64,5,18,14.67
9.266,-0.7,-3.52,5,19,14.77
9.364,-2.11,-3.69,5,34,14.72
9.441,-1.93,-4.22,5,-17,14.76
9.518,1.23,-3.34,5,-17,14.77
9.623,3.34,-2.81,5,-34,14.77
9.701,1.58,-3.16,5,18,14.77
9.781,-0.7,-3.34,5,19,14.76
9.866,-2.29,-3.34,5,19,14.75
