source,episode,theta,alpha,theta_dot,alpha_dot,action,reward,dist_upright
sim,0,-0.026430189609527588,0.033607516437768936,-1.3215094804763794,1.6803758144378662,-0.13019877672195435,-0.006310749799013138,3.107985137152024
sim,0,-0.12994630634784698,0.12413346767425537,-5.661962032318115,5.144473552703857,-0.1581675410270691,0.037361889670137316,3.0174591859155377
sim,0,-0.2843291461467743,0.25566917657852173,-9.802061080932617,8.469331741333008,-0.10419702529907227,0.07191629987210035,2.8859234770112714
sim,0,-0.46380117535591125,0.40325477719306946,-12.57957935333252,10.494973182678223,-0.047111332416534424,0.10766491619870067,2.7383378763967237
sim,0,-0.6092253923416138,0.5149239301681519,-11.898979187011719,9.444343566894531,0.01804804801940918,0.1295748632401228,2.6266687234216413
sim,0,-0.7326987385749817,0.5937133431434631,-10.551057815551758,7.413850784301758,-0.04721337556838989,0.14121052250266075,2.54787931044633
sim,0,-0.8684399724006653,0.6636906862258911,-10.6685791015625,6.2262725830078125,-0.05752331018447876,0.15002086282038363,2.477901967363902
sim,0,-1.0145553350448608,0.7221341133117676,-11.230522155761719,5.212686538696289,-0.023839116096496582,0.14529406442306936,2.4194585402780255
sim,0,-1.1699519157409668,0.7672805190086365,-11.90130615234375,4.174961090087891,-0.016742348670959473,0.13323289337495225,2.3743121345811566
sim,0,-1.3213720321655273,0.7898135185241699,-11.94925308227539,2.6625328063964844,-0.0011615157127380371,0.10963530084700324,2.351779135065623
sim,0,-1.4750406742095947,0.7922633290290833,-12.07931900024414,1.1019821166992188,-0.059255778789520264,0.07245106063783169,2.34932932456071
sim,0,-1.6462644338607788,0.7854540944099426,-13.004920959472656,0.06493377685546875,-0.08765262365341187,0.029531981039326638,2.3561385591798505
sim,0,-1.8376119136810303,0.7736852169036865,-14.351608276367188,-0.5645561218261719,-0.09443533420562744,-0.02748887768757413,2.3679074366861066
sim,1,-0.01917235180735588,0.03765511512756348,-0.9586175680160522,1.8827557563781738,-0.1301124095916748,-0.0049730390310287476,3.1039375384622296
sim,1,-0.10287557542324066,0.11185309290885925,-4.537817001342773,4.402525901794434,-0.1656816601753235,0.03348092769738287,3.029739560680934
sim,1,-0.2293977588415146,0.22071798145771027,-7.995478630065918,7.062843322753906,-0.1439824104309082,0.06552034307969734,2.920874672132083
sim,1,-0.380060613155365,0.34477370977401733,-10.474515914916992,8.801061630249023,-0.11327892541885376,0.09709383855806664,2.796818943815776
sim,1,-0.5378382802009583,0.4663482904434204,-11.742242813110352,9.316459655761719,-0.0682755708694458,0.12297066720202565,2.6752443631463727
sim,1,-0.6931746006011963,0.5743547081947327,-12.086544036865234,8.827653884887695,-0.026888489723205566,0.14216273825149983,2.5672379453950604
sim,1,-0.8315335512161255,0.6542733311653137,-11.364341735839844,7.243442535400391,0.001404404640197754,0.1514144862885587,2.4873193224244794
sim,1,-0.9598703980445862,0.7074007987976074,-10.597545623779297,5.321088790893555,-0.04241585731506348,0.14857054548338056,2.4341918547921857
sim,1,-1.091880202293396,0.7418575882911682,-10.49911117553711,3.68035888671875,-0.06376582384109497,0.1390484625881072,2.399735065298625
sim,1,-1.2299821376800537,0.7586472034454346,-10.767505645751953,2.193408966064453,-0.07310283184051514,0.11877022636326728,2.3829454501443585
sim,1,-1.3765904903411865,0.7595462203025818,-11.291557312011719,0.8518600463867188,-0.09553676843643188,0.08766478818142787,2.3820464332872113
sim,1,-1.5345062017440796,0.7474475502967834,-12.049720764160156,-0.2915496826171875,-0.12079793214797974,0.04641625378280878,2.3941451032930097
sim,1,-1.7065683603286743,0.7261731624603271,-13.03594970703125,-1.1709747314453125,-0.13891422748565674,-0.005248340079560876,2.415419491129466
sim,1,-1.8954564332962036,0.7003066539764404,-14.240058898925781,-1.7241058349609375,-0.14700591564178467,-0.0683687177443062,2.4412859996133527
